time,open,high,low,close
1641160800,0.91728,0.91883,0.91728,0.91853
1641164400,0.91853,0.92011,0.91853,0.92007
1641168000,0.92007,0.92024,0.91931,0.91937
1641171600,0.91937,0.92031,0.91853,0.91874
1641175200,0.91874,0.91938,0.91796,0.91911
1641178800,0.91911,0.91947,0.91835,0.91903
1641182400,0.91903,0.91907,0.91875,0.91898
1641186000,0.91898,0.91929,0.91873,0.91875
1641189600,0.91875,0.91981,0.91856,0.91958
1641193200,0.91958,0.92,0.91955,0.91985
1641196800,0.91985,0.92047,0.91949,0.92012
1641200400,0.92012,0.92029,0.91979,0.91999
1641204000,0.91999,0.92034,0.91933,0.91934
1641207600,0.91934,0.91956,0.91889,0.9193
1641211200,0.9193,0.9193,0.91832,0.91867
1641214800,0.91867,0.91992,0.91813,0.91847
1641218400,0.91847,0.91905,0.91681,0.91681
1641222000,0.91681,0.91848,0.9163,0.91795
1641225600,0.91795,0.91813,0.91704,0.91765
1641229200,0.91765,0.91819,0.9172,0.91793
1641232800,0.91793,0.91813,0.91746,0.91752
1641236400,0.91752,0.91774,0.91657,0.91663
1641240000,0.91663,0.91711,0.9163,0.91655
1641243600,0.91655,0.91697,0.91615,0.91636
1641247200,0.91636,0.91735,0.91626,0.91659
1641250800,0.91659,0.91772,0.91622,0.91759
1641254400,0.91759,0.91788,0.91709,0.9175
1641258000,0.9175,0.91826,0.91709,0.91823
1641261600,0.91823,0.91838,0.91755,0.91774
1641265200,0.91774,0.91835,0.91762,0.91795
1641268800,0.91795,0.9188,0.91795,0.91805
1641272400,0.91805,0.91848,0.91772,0.91777
1641276000,0.91777,0.91827,0.91731,0.91796
1641279600,0.91796,0.91809,0.9173,0.91754
1641283200,0.91754,0.91932,0.91752,0.91878
1641286800,0.91878,0.91942,0.91867,0.91922
1641290400,0.91922,0.91948,0.91849,0.91871
1641294000,0.91871,0.91877,0.91773,0.91791
1641297600,0.91791,0.91823,0.91677,0.91733
1641301200,0.91733,0.91768,0.9166,0.91751
1641304800,0.91751,0.91776,0.91663,0.91725
1641308400,0.91725,0.91881,0.91632,0.91851
1641312000,0.91851,0.91991,0.91845,0.91961
1641315600,0.91961,0.91993,0.91892,0.91902
1641319200,0.91902,0.91987,0.91901,0.91981
1641322800,0.91981,0.92033,0.91938,0.92017
1641326400,0.92017,0.92054,0.91994,0.92026
1641330000,0.92026,0.92042,0.91938,0.9195
1641333600,0.9195,0.92016,0.91788,0.91921
1641337200,0.91921,0.91997,0.91912,0.91968
1641340800,0.91968,0.92026,0.91907,0.91955
1641344400,0.91955,0.92009,0.91909,0.91944
1641348000,0.91944,0.92024,0.91924,0.91951
1641351600,0.91951,0.91994,0.91904,0.9198
1641355200,0.9198,0.91994,0.91936,0.91958
1641358800,0.91958,0.91968,0.91898,0.91943
1641362400,0.91943,0.91952,0.91907,0.91938
1641366000,0.91938,0.9201,0.9192,0.91981
1641369600,0.91981,0.92111,0.91961,0.92038
1641373200,0.92038,0.9215,0.92038,0.92136
1641376800,0.92136,0.92232,0.92122,0.92207
1641380400,0.92207,0.92377,0.92172,0.92325
1641384000,0.92325,0.92393,0.92282,0.92294
1641387600,0.92294,0.92355,0.92226,0.92226
1641391200,0.92226,0.9232,0.92226,0.92276
1641394800,0.92276,0.92394,0.92249,0.92338
1641398400,0.92338,0.92341,0.92199,0.92205
1641402000,0.92205,0.92323,0.92205,0.92306
1641405600,0.92306,0.92306,0.92212,0.92223
1641409200,0.92223,0.92278,0.92077,0.92133
1641412800,0.92133,0.92196,0.92092,0.92172
1641416400,0.92172,0.92173,0.92087,0.92108
1641420000,0.92108,0.92117,0.92072,0.92109
1641423600,0.92109,0.92142,0.92076,0.92142
1641427200,0.92142,0.92152,0.92062,0.92096
1641430800,0.92096,0.92104,0.92019,0.92099
1641434400,0.92099,0.92104,0.9197,0.92004
