time,open,high,low,close
1641160800,83.583,83.709,83.581,83.654
1641164400,83.654,83.775,83.654,83.683
1641168000,83.683,83.806,83.657,83.757
1641171600,83.757,83.866,83.568,83.597
1641175200,83.597,83.647,83.5,83.604
1641178800,83.604,83.63,83.455,83.561
1641182400,83.561,83.619,83.543,83.564
1641186000,83.564,83.607,83.544,83.552
1641189600,83.552,83.656,83.547,83.655
1641193200,83.655,83.669,83.614,83.666
1641196800,83.666,83.744,83.645,83.689
1641200400,83.689,83.694,83.52,83.566
1641204000,83.566,83.596,83.431,83.432
1641207600,83.432,83.462,83.327,83.404
1641211200,83.404,83.421,83.334,83.356
1641214800,83.356,83.369,83.137,83.17
1641218400,83.17,83.17,82.947,82.982
1641222000,82.982,83.046,82.85,82.86
1641225600,82.86,82.951,82.849,82.921
1641229200,82.921,83.022,82.892,82.989
1641232800,82.989,83.033,82.973,82.997
1641236400,82.997,82.997,82.892,82.935
1641240000,82.935,82.957,82.828,82.901
1641243600,82.901,82.967,82.882,82.915
1641247200,82.915,83.005,82.9,82.905
1641250800,82.905,83.021,82.864,82.989
1641254400,82.989,83.081,82.947,83.06
1641258000,83.06,83.168,83.033,83.102
1641261600,83.102,83.248,83.044,83.218
1641265200,83.218,83.419,83.181,83.345
1641268800,83.345,83.519,83.345,83.497
1641272400,83.497,83.548,83.444,83.491
1641276000,83.491,83.5,83.414,83.479
1641279600,83.479,83.501,83.337,83.427
1641283200,83.427,83.548,83.423,83.504
1641286800,83.504,83.611,83.5,83.537
1641290400,83.537,83.604,83.497,83.52
1641294000,83.52,83.658,83.513,83.609
1641297600,83.609,83.685,83.553,83.605
1641301200,83.605,83.813,83.605,83.803
1641304800,83.803,83.951,83.769,83.872
1641308400,83.872,84.177,83.834,84.159
1641312000,84.159,84.159,83.909,84.102
1641315600,84.102,84.174,84.069,84.114
1641319200,84.114,84.133,84.008,84.008
1641322800,84.008,84.12,83.992,84.092
1641326400,84.092,84.125,84.042,84.05
1641330000,84.05,84.118,84.05,84.062
1641333600,84.062,84.108,84.004,84.055
1641337200,84.055,84.16,84.054,84.095
1641340800,84.095,84.154,84.037,84.107
1641344400,84.107,84.139,83.828,83.921
1641348000,83.921,83.989,83.865,83.892
1641351600,83.892,83.949,83.761,83.934
1641355200,83.934,83.937,83.862,83.931
1641358800,83.931,83.956,83.79,83.821
1641362400,83.821,83.915,83.793,83.88
1641366000,83.88,83.972,83.84,83.947
1641369600,83.947,84.031,83.867,83.908
1641373200,83.908,84.004,83.888,83.965
1641376800,83.965,83.98,83.887,83.925
1641380400,83.925,83.979,83.88,83.95
1641384000,83.95,83.983,83.923,83.959
1641387600,83.959,84.14,83.956,84.043
1641391200,84.043,84.12,83.933,84.073
1641394800,84.073,84.22,84.048,84.179
1641398400,84.179,84.2,84.089,84.156
1641402000,84.156,84.294,84.154,84.237
1641405600,84.237,84.291,84.171,84.239
1641409200,84.239,84.296,83.861,83.903
1641412800,83.903,83.912,83.821,83.845
1641416400,83.845,83.869,83.784,83.842
1641420000,83.842,83.872,83.776,83.849
1641423600,83.849,83.872,83.752,83.855
1641427200,83.855,83.888,83.697,83.767
1641430800,83.767,83.768,83.572,83.638
1641434400,83.638,83.641,83.438,83.555
1641438000,83.555,83.565,83.31,83.321
1641441600,83.321,83.334,83.132,83.167
1641445200,83.167,83.211,83.064,83.123
1641448800,83.123,83.124,82.98,82.998
1641452400,82.998,83.064,82.901,82.922
1641456000,82.922,83.008,82.687,82.804
1641459600,82.804,82.866,82.742,82.834
1641463200,82.834,83.179,82.814,83.116
1641466800,83.116,83.122,82.968,83.011
1641470400,83.011,83.124,82.977,83.04
1641474000,83.04,83.075,82.878,82.901
1641477600,82.901,83.166,82.876,82.903
1641481200,82.903,83.012,82.73,82.857
1641484800,82.857,82.994,82.804,82.98
1641488400,82.98,83.075,82.937,82.996
1641492000,82.996,83.026,82.915,83.012
1641495600,83.012,83.084,82.974,83.071
1641499200,83.071,83.109,82.965,83.029
1641502800,83.029,83.047,82.949,82.954
1641506400,82.954,83.043,82.928,82.966
1641510000,82.966,83.042,82.965,82.989
1641513600,82.989,83.205,82.989,83.141
1641517200,83.141,83.221,83.093,83.137
1641520800,83.137,83.137,82.992,83.074
1641524400,83.074,83.139,83.012,83.034
1641528000,83.034,83.037,82.936,82.998
1641531600,82.998,83.045,82.956,83.038
1641535200,83.038,83.051,82.919,82.97
1641538800,82.97,82.996,82.832,82.9
1641542400,82.9,82.924,82.752,82.804
1641546000,82.804,82.9,82.765,82.893
1641549600,82.893,82.944,82.866,82.917
1641553200,82.917,82.917,82.836,82.861
1641556800,82.861,82.879,82.791,82.839
1641560400,82.839,83.009,82.632,82.714
1641564000,82.714,82.996,82.689,82.927
1641567600,82.927,82.964,82.731,82.846
1641571200,82.846,83.072,82.812,83.069
1641574800,83.069,83.081,82.959,82.996
1641578400,82.996,83.044,82.979,83.025
1641582000,83.025,83.068,83.001,83.024
1641585600,83.024,83.04,82.989,82.99
1641589200,82.99,83.026,82.939,82.971
1641765600,82.971,83.017,82.917,83.003
1641769200,83.003,83.071,82.924,82.999
1641772800,82.999,83.126,82.984,83.051
1641776400,83.051,83.196,83.007,83.171
1641780000,83.171,83.292,83.17,83.257
1641783600,83.257,83.3,83.221,83.259
1641787200,83.259,83.358,83.256,83.289
1641790800,83.289,83.33,83.252,83.288
1641794400,83.288,83.32,83.242,83.3
1641798000,83.3,83.362,83.266,83.333
1641801600,83.333,83.342,83.021,83.137
1641805200,83.137,83.259,83.134,83.159
1641808800,83.159,83.253,83.144,83.183
1641812400,83.183,83.197,82.91,82.92
1641816000,82.92,82.944,82.694,82.696
1641819600,82.696,82.846,82.637,82.752
1641823200,82.752,82.789,82.498,82.569
1641826800,82.569,82.608,82.358,82.434
1641830400,82.434,82.595,82.333,82.566
1641834000,82.566,82.594,82.433,82.474
1641837600,82.474,82.657,82.466,82.613
1641841200,82.613,82.645,82.491,82.611
1641844800,82.611,82.718,82.566,82.715
1641848400,82.715,82.717,82.571,82.571
1641852000,82.571,82.707,82.571,82.641
1641855600,82.641,82.793,82.639,82.772
1641859200,82.772,82.908,82.683,82.871
1641862800,82.871,82.892,82.744,82.785
1641866400,82.785,82.933,82.747,82.901
1641870000,82.901,83.031,82.899,82.951
1641873600,82.951,82.953,82.81,82.823
1641877200,82.823,82.911,82.799,82.888
1641880800,82.888,82.912,82.579,82.652
1641884400,82.652,82.875,82.624,82.859
1641888000,82.859,82.923,82.782,82.831
1641891600,82.831,82.962,82.816,82.892
1641895200,82.892,82.933,82.827,82.899
1641898800,82.899,82.902,82.775,82.842
1641902400,82.842,82.903,82.777,82.826
1641906000,82.826,82.93,82.797,82.837
1641909600,82.837,82.898,82.698,82.779
1641913200,82.779,82.958,82.774,82.901
1641916800,82.901,83.072,82.9,83.038
1641920400,83.038,83.14,83.018,83.1
1641924000,83.1,83.215,83.048,83.215
1641927600,83.215,83.223,83.139,83.145
1641931200,83.145,83.173,83.104,83.133
1641934800,83.133,83.154,83.106,83.135
1641938400,83.135,83.173,83.107,83.152
1641942000,83.152,83.206,83.129,83.156
1641945600,83.156,83.222,83.127,83.145
1641949200,83.145,83.185,83.034,83.117
1641952800,83.117,83.247,83.105,83.211
1641956400,83.211,83.293,83.191,83.291
1641960000,83.291,83.305,83.256,83.275
1641963600,83.275,83.279,83.206,83.258
1641967200,83.258,83.311,83.208,83.209
1641970800,83.209,83.237,83.107,83.147
1641974400,83.147,83.23,83.081,83.112
1641978000,83.112,83.209,83.081,83.195
1641981600,83.195,83.251,83.154,83.239
1641985200,83.239,83.258,83.203,83.205
1641988800,83.205,83.28,83.175,83.261
1641992400,83.261,83.539,83.215,83.522
1641996000,83.522,83.679,83.467,83.599
1641999600,83.599,83.67,83.459,83.484
1642003200,83.484,83.556,83.386,83.511
1642006800,83.511,83.512,83.359,83.413
1642010400,83.413,83.475,83.386,83.423
1642014000,83.423,83.496,83.363,83.41
1642017600,83.41,83.491,83.394,83.491
1642021200,83.491,83.536,83.458,83.522
1642024800,83.522,83.541,83.491,83.528
1642028400,83.528,83.553,83.49,83.506
1642032000,83.506,83.538,83.443,83.491
1642035600,83.491,83.518,83.35,83.364
1642039200,83.364,83.549,83.347,83.536
1642042800,83.536,83.536,83.396,83.48
1642046400,83.48,83.554,83.473,83.519
1642050000,83.519,83.545,83.399,83.418
1642053600,83.418,83.527,83.417,83.501
1642057200,83.501,83.614,83.457,83.533
1642060800,83.533,83.686,83.528,83.637
1642064400,83.637,83.747,83.613,83.726
1642068000,83.726,83.748,83.667,83.678
1642071600,83.678,83.685,83.587,83.595
1642075200,83.595,83.614,83.393,83.402
1642078800,83.402,83.532,83.332,83.499
1642082400,83.499,83.556,83.458,83.538
1642086000,83.538,83.549,83.153,83.293
1642089600,83.293,83.334,83.214,83.256
1642093200,83.256,83.26,83.042,83.148
1642096800,83.148,83.222,83.113,83.212
1642100400,83.212,83.259,83.131,83.163
1642104000,83.163,83.165,83.004,83.056
1642107600,83.056,83.177,83.044,83.174
1642111200,83.174,83.188,83.108,83.123
1642114800,83.123,83.171,83.069,83.093
1642118400,83.093,83.105,82.881,82.896
1642122000,82.896,82.962,82.699,82.738
1642125600,82.738,82.82,82.646,82.809
1642129200,82.809,82.81,82.631,82.733
1642132800,82.733,82.893,82.733,82.83
1642136400,82.83,82.881,82.733,82.871
1642140000,82.871,82.939,82.84,82.879
1642143600,82.879,82.928,82.766,82.862
1642147200,82.862,82.994,82.808,82.859
1642150800,82.859,82.889,82.791,82.836
1642154400,82.836,82.873,82.772,82.772
