time,open,high,low,close
1641160800,0.72614,0.72701,0.72614,0.72675
1641164400,0.72675,0.72755,0.72674,0.72678
1641168000,0.72678,0.72738,0.72654,0.72655
1641171600,0.72655,0.72773,0.72536,0.72558
1641175200,0.72558,0.72564,0.72459,0.72523
1641178800,0.72523,0.72549,0.72396,0.72487
1641182400,0.72487,0.72539,0.72466,0.72494
1641186000,0.72494,0.7251,0.72457,0.72458
1641189600,0.72458,0.72538,0.72453,0.72532
1641193200,0.72532,0.72576,0.72505,0.7257
1641196800,0.7257,0.72637,0.72557,0.7261
1641200400,0.7261,0.72621,0.72526,0.72554
1641204000,0.72554,0.72606,0.72498,0.72499
1641207600,0.72499,0.72522,0.72449,0.72483
1641211200,0.72483,0.72483,0.72405,0.72443
1641214800,0.72443,0.72448,0.72205,0.72228
1641218400,0.72228,0.72228,0.71942,0.7197
1641222000,0.7197,0.72018,0.71854,0.71865
1641225600,0.71865,0.71959,0.71844,0.71939
1641229200,0.71939,0.71989,0.71905,0.71965
1641232800,0.71965,0.7201,0.71955,0.71997
1641236400,0.71997,0.71997,0.71906,0.71907
1641240000,0.71907,0.71929,0.71843,0.71874
1641243600,0.71874,0.7193,0.71857,0.71895
1641247200,0.71895,0.71923,0.71871,0.71882
1641250800,0.71882,0.71972,0.71871,0.71958
1641254400,0.71958,0.71986,0.71917,0.71981
1641258000,0.71981,0.72073,0.71975,0.72002
1641261600,0.72002,0.72042,0.71953,0.71991
1641265200,0.71991,0.72052,0.71967,0.72029
1641268800,0.72029,0.72148,0.72029,0.72112
1641272400,0.72112,0.72164,0.72081,0.72131
1641276000,0.72131,0.72157,0.72056,0.72088
1641279600,0.72088,0.72116,0.72019,0.72083
1641283200,0.72083,0.72136,0.72075,0.72084
1641286800,0.72084,0.7217,0.72071,0.72118
1641290400,0.72118,0.72169,0.72059,0.72064
1641294000,0.72064,0.72082,0.71961,0.71985
1641297600,0.71985,0.72001,0.71852,0.71883
1641301200,0.71883,0.72084,0.71883,0.72083
1641304800,0.72083,0.72193,0.72049,0.7215
1641308400,0.7215,0.72488,0.7215,0.72463
1641312000,0.72463,0.72481,0.72312,0.72415
1641315600,0.72415,0.72454,0.72373,0.72404
1641319200,0.72404,0.72425,0.72318,0.7232
1641322800,0.7232,0.72429,0.72313,0.72424
1641326400,0.72424,0.72443,0.72388,0.72395
1641330000,0.72395,0.72435,0.72385,0.72392
1641333600,0.72392,0.72419,0.72317,0.72361
1641337200,0.72361,0.72424,0.72349,0.72388
1641340800,0.72388,0.72448,0.72366,0.72381
1641344400,0.72381,0.72428,0.72312,0.72339
1641348000,0.72339,0.72389,0.72304,0.72328
1641351600,0.72328,0.72363,0.72262,0.72351
1641355200,0.72351,0.72355,0.72303,0.72319
1641358800,0.72319,0.72331,0.72233,0.72259
1641362400,0.72259,0.72336,0.72248,0.72321
1641366000,0.72321,0.72385,0.72289,0.72346
1641369600,0.72346,0.72472,0.72328,0.72386
1641373200,0.72386,0.72495,0.72386,0.72473
1641376800,0.72473,0.72533,0.72466,0.72496
1641380400,0.72496,0.72599,0.72463,0.72574
1641384000,0.72574,0.72581,0.72489,0.72505
1641387600,0.72505,0.72616,0.72498,0.72574
1641391200,0.72574,0.7269,0.72558,0.72644
1641394800,0.72644,0.72724,0.72578,0.72702
1641398400,0.72702,0.72707,0.72567,0.72601
1641402000,0.72601,0.72689,0.72597,0.72636
1641405600,0.72636,0.7266,0.72581,0.72605
1641409200,0.72605,0.72656,0.7221,0.72232
1641412800,0.72232,0.72253,0.72174,0.72205
1641416400,0.72205,0.72227,0.72157,0.72211
1641420000,0.72211,0.72211,0.72166,0.72206
1641423600,0.72206,0.7223,0.72146,0.7221
1641427200,0.7221,0.7221,0.72127,0.72155
1641430800,0.72155,0.72157,0.72051,0.72147
1641434400,0.72147,0.7215,0.72003,0.72063
1641438000,0.72063,0.72071,0.71889,0.71916
1641441600,0.71916,0.71918,0.71756,0.71766
1641445200,0.71766,0.71778,0.71701,0.71741
1641448800,0.71741,0.71741,0.71611,0.71619
1641452400,0.71619,0.71653,0.71553,0.71565
1641456000,0.71565,0.71622,0.71458,0.71513
1641459600,0.71513,0.716,0.71473,0.71565
1641463200,0.71565,0.71779,0.71554,0.71734
1641466800,0.71734,0.71737,0.71645,0.71686
1641470400,0.71686,0.71746,0.71657,0.71701
1641474000,0.71701,0.7173,0.71599,0.71621
1641477600,0.71621,0.71811,0.71569,0.71609
1641481200,0.71609,0.71711,0.71494,0.71586
1641484800,0.71586,0.71694,0.7156,0.71672
1641488400,0.71672,0.71733,0.71627,0.71664
1641492000,0.71664,0.71688,0.71604,0.71655
1641495600,0.71655,0.71707,0.71623,0.71645
1641499200,0.71645,0.71678,0.71594,0.71636
1641502800,0.71636,0.71659,0.71617,0.71621
1641506400,0.71621,0.71689,0.71579,0.71609
1641510000,0.71609,0.7167,0.71601,0.71623
1641513600,0.71623,0.71722,0.71622,0.71703
1641517200,0.71703,0.71777,0.71702,0.71733
1641520800,0.71733,0.71733,0.71626,0.71694
1641524400,0.71694,0.71736,0.71648,0.71662
1641528000,0.71662,0.71666,0.71575,0.71602
1641531600,0.71602,0.7164,0.71583,0.71639
1641535200,0.71639,0.71643,0.71532,0.71563
1641538800,0.71563,0.71587,0.71499,0.71541
1641542400,0.71541,0.71543,0.7143,0.71515
