time,open,high,low,close
1641160800,91.081,91.107,91.038,91.068
1641164400,91.068,91.146,90.95,90.953
1641168000,90.953,91.126,90.953,91.103
1641171600,91.103,91.139,90.951,90.992
1641175200,90.992,91.007,90.934,90.961
1641178800,90.961,90.979,90.867,90.923
1641182400,90.923,90.989,90.911,90.933
1641186000,90.933,90.951,90.908,90.941
1641189600,90.941,90.99,90.92,90.97
1641193200,90.97,90.975,90.909,90.957
1641196800,90.957,91.013,90.934,90.954
1641200400,90.954,90.969,90.794,90.833
1641204000,90.833,90.849,90.742,90.75
1641207600,90.75,90.769,90.664,90.726
1641211200,90.726,90.8,90.708,90.736
1641214800,90.736,90.749,90.464,90.552
1641218400,90.552,90.577,90.426,90.509
1641222000,90.509,90.559,90.224,90.267
1641225600,90.267,90.41,90.261,90.361
1641229200,90.361,90.436,90.343,90.409
1641232800,90.409,90.46,90.399,90.458
1641236400,90.458,90.478,90.378,90.478
1641240000,90.478,90.497,90.361,90.451
1641243600,90.451,90.507,90.429,90.486
1641247200,90.486,90.497,90.414,90.44
1641250800,90.44,90.493,90.43,90.443
1641254400,90.443,90.54,90.409,90.529
1641258000,90.529,90.597,90.492,90.503
1641261600,90.503,90.7,90.491,90.679
1641265200,90.679,90.853,90.639,90.794
1641268800,90.794,90.965,90.793,90.95
1641272400,90.95,90.984,90.903,90.971
1641276000,90.971,90.973,90.904,90.939
1641279600,90.939,90.957,90.817,90.925
1641283200,90.925,90.942,90.816,90.887
1641286800,90.887,90.955,90.868,90.878
1641290400,90.878,90.967,90.87,90.91
1641294000,90.91,91.123,90.91,91.087
1641297600,91.087,91.222,91.057,91.14
1641301200,91.14,91.374,91.138,91.337
1641304800,91.337,91.533,91.323,91.434
1641308400,91.434,91.669,91.383,91.625
1641312000,91.625,91.626,91.278,91.455
1641315600,91.455,91.548,91.412,91.526
1641319200,91.526,91.526,91.331,91.331
1641322800,91.331,91.425,91.319,91.388
1641326400,91.388,91.429,91.315,91.333
1641330000,91.333,91.425,91.333,91.412
1641333600,91.412,91.516,91.36,91.423
1641337200,91.423,91.517,91.408,91.441
1641340800,91.441,91.529,91.404,91.465
1641344400,91.465,91.471,91.199,91.275
1641348000,91.275,91.321,91.206,91.235
1641351600,91.235,91.26,91.135,91.253
1641355200,91.253,91.287,91.19,91.271
1641358800,91.271,91.301,91.15,91.165
1641362400,91.165,91.285,91.153,91.236
1641366000,91.236,91.289,91.2,91.266
1641369600,91.266,91.291,91.136,91.169
1641373200,91.169,91.2,91.06,91.133
1641376800,91.133,91.14,91.02,91.02
1641380400,91.02,91.047,90.861,90.927
1641384000,90.927,90.981,90.875,90.968
1641387600,90.968,91.166,90.962,91.127
1641391200,91.127,91.148,90.963,91.111
