time,open,high,low,close
1641160800,126.14,126.397,126.14,126.303
1641164400,126.303,126.308,126.182,126.244
1641168000,126.244,126.277,126.223,126.27
1641171600,126.27,126.292,126.125,126.192
1641175200,126.192,126.192,126.071,126.082
1641178800,126.082,126.122,126.013,126.096
1641182400,126.096,126.108,126.012,126.028
1641186000,126.028,126.08,126.023,126.057
1641189600,126.057,126.191,126.057,126.172
1641193200,126.172,126.25,126.083,126.163
1641196800,126.163,126.279,126.045,126.276
1641200400,126.276,126.309,126.138,126.3
1641204000,126.3,126.321,126.08,126.092
1641207600,126.092,126.214,126.018,126.155
1641211200,126.155,126.16,125.997,126.002
1641214800,126.002,126.011,125.803,125.874
1641218400,125.874,125.893,125.537,125.562
1641222000,125.562,125.609,125.349,125.484
1641225600,125.484,125.621,125.401,125.443
1641229200,125.443,125.495,125.347,125.454
1641232800,125.454,125.553,125.441,125.501
1641236400,125.501,125.583,125.496,125.583
1641240000,125.583,125.583,125.5,125.539
1641243600,125.539,125.585,125.455,125.455
1641247200,125.455,125.905,125.395,125.527
1641250800,125.527,125.581,125.478,125.58
1641254400,125.58,125.745,125.543,125.733
1641258000,125.733,125.835,125.709,125.784
1641261600,125.784,125.921,125.773,125.901
1641265200,125.901,126.033,125.874,125.953
1641268800,125.953,126.133,125.95,126.114
1641272400,126.114,126.134,126.045,126.088
1641276000,126.088,126.114,126.022,126.101
1641279600,126.101,126.104,125.852,125.927
1641283200,125.927,126.171,125.923,126.131
1641286800,126.131,126.255,126.054,126.202
1641290400,126.202,126.348,126.158,126.316
1641294000,126.316,126.476,126.247,126.406
1641297600,126.406,126.651,126.388,126.593
1641301200,126.593,126.808,126.59,126.724
1641304800,126.724,126.932,126.718,126.801
1641308400,126.801,127.08,126.744,127.052
1641312000,127.052,127.052,126.754,126.841
1641315600,126.841,126.922,126.82,126.897
1641319200,126.897,126.903,126.684,126.684
1641322800,126.684,126.749,126.681,126.712
1641326400,126.712,126.726,126.663,126.713
1641330000,126.713,126.777,126.7,126.76
1641333600,126.76,126.969,126.728,126.782
1641337200,126.782,126.824,126.745,126.797
1641340800,126.797,126.812,126.72,126.742
1641344400,126.742,126.786,126.561,126.606
1641348000,126.606,126.655,126.571,126.595
1641351600,126.595,126.631,126.506,126.63
1641355200,126.63,126.635,126.542,126.633
1641358800,126.633,126.681,126.592,126.632
1641362400,126.632,126.713,126.616,126.668
1641366000,126.668,126.819,126.638,126.78
1641369600,126.78,126.829,126.601,126.634
1641373200,126.634,126.691,126.475,126.5
1641376800,126.5,126.551,126.375,126.477
1641380400,126.477,126.496,126.339,126.419
1641384000,126.419,126.488,126.354,126.393
1641387600,126.393,126.545,126.322,126.482
1641391200,126.482,126.544,126.373,126.456
1641394800,126.456,126.648,126.455,126.552
1641398400,126.552,126.595,126.504,126.539
1641402000,126.539,126.687,126.518,126.588
1641405600,126.588,126.714,126.568,126.646
1641409200,126.646,126.669,126.444,126.612
1641412800,126.612,126.613,126.492,126.515
1641416400,126.515,126.705,126.489,126.682
1641420000,126.682,126.788,126.567,126.596
1641423600,126.596,126.603,126.533,126.581
1641427200,126.581,126.613,126.376,126.428
1641430800,126.428,126.446,126.307,126.421
1641434400,126.421,126.423,126.3,126.408
1641438000,126.408,126.408,126.269,126.286
1641441600,126.286,126.308,126.255,126.259
1641445200,126.259,126.309,126.201,126.247
1641448800,126.247,126.248,126.093,126.165
1641452400,126.165,126.165,125.96,125.998
1641456000,125.998,126.069,125.848,125.938
1641459600,125.938,126.071,125.862,125.997
1641463200,125.997,126.28,125.98,126.135
1641466800,126.135,126.233,126.071,126.164
1641470400,126.164,126.231,126.045,126.067
1641474000,126.067,126.115,125.928,126.032
1641477600,126.032,126.286,125.978,126.159
1641481200,126.159,126.191,125.838,125.883
1641484800,125.883,126.002,125.756,125.891
1641488400,125.891,125.912,125.799,125.822
1641492000,125.822,125.832,125.681,125.694
1641495600,125.694,125.782,125.679,125.71
1641499200,125.71,125.753,125.674,125.741
1641502800,125.741,125.773,125.712,125.719
1641506400,125.719,125.761,125.668,125.714
1641510000,125.714,125.766,125.714,125.744
1641513600,125.744,125.903,125.742,125.824
1641517200,125.824,125.86,125.781,125.84
1641520800,125.84,125.85,125.756,125.765
1641524400,125.765,125.808,125.747,125.766
1641528000,125.766,125.817,125.752,125.81
1641531600,125.81,125.855,125.796,125.84
1641535200,125.84,125.866,125.792,125.814
1641538800,125.814,125.848,125.747,125.839
1641542400,125.839,125.896,125.76,125.784
