time,open,high,low,close
1641160800,1.56545,1.56635,1.56471,1.56515
1641164400,1.56515,1.56534,1.56301,1.56486
1641168000,1.56486,1.56547,1.5628,1.56383
1641171600,1.56383,1.56592,1.56171,1.56545
1641175200,1.56545,1.56635,1.56382,1.56402
1641178800,1.56402,1.56698,1.56358,1.56557
1641182400,1.56557,1.56566,1.56433,1.56437
1641186000,1.56437,1.56501,1.5639,1.56477
1641189600,1.56477,1.56529,1.56387,1.56388
1641193200,1.56388,1.56465,1.56277,1.56378
1641196800,1.56378,1.56379,1.56085,1.56271
1641200400,1.56271,1.56557,1.56215,1.5646
1641204000,1.5646,1.56656,1.56423,1.56629
1641207600,1.56629,1.56781,1.56544,1.56668
1641211200,1.56668,1.56815,1.56636,1.568
1641214800,1.568,1.57196,1.56711,1.57152
1641218400,1.57152,1.57288,1.57053,1.57108
1641222000,1.57108,1.57304,1.57023,1.57123
1641225600,1.57123,1.57184,1.56836,1.56927
1641229200,1.56927,1.56962,1.56734,1.56796
1641232800,1.56796,1.56905,1.56755,1.56882
1641236400,1.56882,1.57121,1.56881,1.57111
1641240000,1.57111,1.57243,1.57075,1.57174
1641243600,1.57174,1.57206,1.57076,1.57102
1641247200,1.57102,1.57165,1.57053,1.57141
1641250800,1.57141,1.57185,1.5698,1.57065
1641254400,1.57065,1.57201,1.57038,1.57068
1641258000,1.57068,1.57089,1.56894,1.57036
1641261600,1.57036,1.57128,1.5695,1.56999
1641265200,1.56999,1.57046,1.56834,1.56853
1641268800,1.56853,1.56853,1.56643,1.56715
1641272400,1.56715,1.56791,1.56647,1.56727
1641276000,1.56727,1.56821,1.56628,1.56664
1641279600,1.56664,1.56755,1.56563,1.56649
1641283200,1.56649,1.56722,1.56575,1.56616
1641286800,1.56616,1.56758,1.56513,1.56714
1641290400,1.56714,1.56788,1.56605,1.56733
1641294000,1.56733,1.56777,1.56644,1.56645
1641297600,1.56645,1.56964,1.56636,1.56824
1641301200,1.56824,1.56867,1.56488,1.56488
1641304800,1.56488,1.56602,1.56319,1.56404
1641308400,1.56404,1.56456,1.56048,1.56064
1641312000,1.56064,1.56284,1.55944,1.55974
1641315600,1.55974,1.56017,1.55882,1.55985
1641319200,1.55985,1.5603,1.55911,1.55979
1641322800,1.55979,1.56035,1.55859,1.55859
1641326400,1.55859,1.55878,1.55766,1.55876
1641330000,1.55876,1.55952,1.55782,1.55952
1641333600,1.55952,1.56064,1.55827,1.55956
1641337200,1.55956,1.55974,1.5581,1.55871
1641340800,1.55871,1.55898,1.55768,1.55804
1641344400,1.55804,1.56088,1.55746,1.56013
1641348000,1.56013,1.56134,1.55946,1.56126
1641351600,1.56126,1.56268,1.56101,1.56126
1641355200,1.56126,1.56154,1.5604,1.561
1641358800,1.561,1.56328,1.56073,1.56302
1641362400,1.56302,1.5633,1.56161,1.56192
1641366000,1.56192,1.56273,1.56114,1.56178
1641369600,1.56178,1.56305,1.56015,1.5615
