time,open,high,low,close
1641160800,1.43639,1.43814,1.43639,1.43761
1641164400,1.43761,1.43983,1.4366,1.43978
1641168000,1.43978,1.43978,1.43737,1.43774
1641171600,1.43774,1.43838,1.43682,1.43824
1641175200,1.43824,1.4385,1.4373,1.43749
1641178800,1.43749,1.43931,1.43727,1.43881
1641182400,1.43881,1.43881,1.43756,1.43761
1641186000,1.43761,1.43802,1.4375,1.43762
1641189600,1.43762,1.43911,1.43737,1.43816
1641193200,1.43816,1.4392,1.43743,1.43844
1641196800,1.43844,1.43844,1.43612,1.43789
1641200400,1.43789,1.44014,1.43688,1.43942
1641204000,1.43942,1.44028,1.43899,1.43997
1641207600,1.43997,1.44131,1.4394,1.44023
1641211200,1.44023,1.44059,1.43907,1.44047
1641214800,1.44047,1.44384,1.44005,1.44341
1641218400,1.44341,1.44403,1.44029,1.44037
1641222000,1.44037,1.44368,1.43992,1.44229
1641225600,1.44229,1.44247,1.43919,1.44003
1641229200,1.44003,1.44039,1.43882,1.43928
1641232800,1.43928,1.44012,1.43907,1.43944
1641236400,1.43944,1.44108,1.43942,1.4401
1641240000,1.4401,1.44143,1.43985,1.44055
1641243600,1.44055,1.44074,1.43969,1.4397
1641247200,1.4397,1.44114,1.43954,1.44027
1641250800,1.44027,1.44122,1.44001,1.44122
1641254400,1.44122,1.44201,1.44071,1.44108
1641258000,1.44108,1.44204,1.44031,1.44195
1641261600,1.44195,1.44211,1.44053,1.44084
1641265200,1.44084,1.44127,1.43984,1.43985
1641268800,1.43985,1.43989,1.43865,1.43872
1641272400,1.43872,1.43926,1.43814,1.43839
1641276000,1.43839,1.43882,1.43792,1.43806
1641279600,1.43806,1.43812,1.4364,1.4373
1641283200,1.4373,1.4399,1.43696,1.43895
1641286800,1.43895,1.44062,1.43834,1.44054
1641290400,1.44054,1.44072,1.43933,1.4399
1641294000,1.4399,1.43994,1.43775,1.43786
1641297600,1.43786,1.43996,1.43766,1.43859
1641301200,1.43859,1.4389,1.43568,1.4358
1641304800,1.4358,1.43654,1.43379,1.43463
1641308400,1.43463,1.43557,1.43287,1.43345
1641312000,1.43345,1.43624,1.43341,1.43434
1641315600,1.43434,1.43474,1.43314,1.43354
1641319200,1.43354,1.43478,1.43312,1.43471
1641322800,1.43471,1.43514,1.43409,1.43418
1641326400,1.43418,1.4346,1.43348,1.43447
1641330000,1.43447,1.4345,1.43324,1.43407
1641333600,1.43407,1.43466,1.43293,1.43364
1641337200,1.43364,1.43409,1.43323,1.43353
1641340800,1.43353,1.43374,1.43235,1.43263
1641344400,1.43263,1.43477,1.43263,1.43444
1641348000,1.43444,1.4359,1.4342,1.43559
1641351600,1.43559,1.43655,1.43543,1.43605
1641355200,1.43605,1.43606,1.43529,1.43546
1641358800,1.43546,1.4371,1.43528,1.43708
1641362400,1.43708,1.43708,1.43588,1.436
1641366000,1.436,1.43674,1.43548,1.43654
1641369600,1.43654,1.43837,1.436,1.43717
1641373200,1.43717,1.4377,1.43661,1.43738
1641376800,1.43738,1.43866,1.43712,1.43829
1641380400,1.43829,1.44132,1.43792,1.43996
1641384000,1.43996,1.44105,1.43926,1.43945
1641387600,1.43945,1.44055,1.43771,1.43902
1641391200,1.43902,1.4415,1.43882,1.43993
1641394800,1.43993,1.44186,1.43866,1.43994
1641398400,1.43994,1.44064,1.43854,1.43944
1641402000,1.43944,1.44207,1.43913,1.44126
1641405600,1.44126,1.44137,1.43989,1.4401
1641409200,1.4401,1.44335,1.43962,1.44264
1641412800,1.44264,1.444,1.44238,1.44393
1641416400,1.44393,1.44393,1.44258,1.44346
1641420000,1.44346,1.44373,1.44259,1.44283
1641423600,1.44283,1.44359,1.44281,1.4433
1641427200,1.4433,1.4439,1.44292,1.44333
1641430800,1.44333,1.44488,1.44327,1.44464
1641434400,1.44464,1.44564,1.44453,1.44517
1641438000,1.44517,1.44652,1.44487,1.4464
1641441600,1.4464,1.44732,1.44582,1.44715
1641445200,1.44715,1.44736,1.44615,1.44629
1641448800,1.44629,1.4466,1.44567,1.4462
1641452400,1.4462,1.4462,1.44396,1.44561
1641456000,1.44561,1.44815,1.44453,1.44611
1641459600,1.44611,1.44714,1.44464,1.44537
1641463200,1.44537,1.44591,1.44285,1.44407
1641466800,1.44407,1.44615,1.44366,1.44558
1641470400,1.44558,1.44595,1.44384,1.4442
1641474000,1.4442,1.44589,1.44222,1.44389
1641477600,1.44389,1.44508,1.44121,1.44494
1641481200,1.44494,1.44647,1.43999,1.44053
1641484800,1.44053,1.44118,1.43841,1.43905
1641488400,1.43905,1.43914,1.43591,1.43669
1641492000,1.43669,1.43747,1.43613,1.43692
1641495600,1.43692,1.43796,1.4368,1.43682
1641499200,1.43682,1.43837,1.43661,1.43707
1641502800,1.43707,1.4381,1.43661,1.43809
1641506400,1.43809,1.43841,1.43735,1.4376
1641510000,1.4376,1.43811,1.43724,1.43791
1641513600,1.43791,1.43794,1.4357,1.43594
1641517200,1.43594,1.43636,1.4355,1.43615
1641520800,1.43615,1.43736,1.43615,1.4364
1641524400,1.4364,1.43688,1.43616,1.43648
1641528000,1.43648,1.43695,1.43628,1.43637
1641531600,1.43637,1.43705,1.43621,1.43657
1641535200,1.43657,1.43701,1.43629,1.43631
1641538800,1.43631,1.43914,1.43613,1.43855
1641542400,1.43855,1.43999,1.43835,1.4391
1641546000,1.4391,1.43992,1.43826,1.43856
1641549600,1.43856,1.43906,1.43651,1.43739
1641553200,1.43739,1.43818,1.43698,1.43778
1641556800,1.43778,1.43815,1.43692,1.43735
1641560400,1.43735,1.43798,1.43348,1.43791
1641564000,1.43791,1.4403,1.43681,1.43744
1641567600,1.43744,1.43904,1.43664,1.43825
1641571200,1.43825,1.43853,1.43497,1.43578
1641574800,1.43578,1.43732,1.43572,1.43637
1641578400,1.43637,1.43679,1.4355,1.43557
1641582000,1.43557,1.43635,1.43531,1.43568
1641585600,1.43568,1.43633,1.43496,1.43628
1641589200,1.43628,1.43701,1.4353,1.4362
1641765600,1.4362,1.43693,1.43594,1.43634
1641769200,1.43634,1.43755,1.43534,1.436
1641772800,1.436,1.43633,1.43515,1.43532
1641776400,1.43532,1.43634,1.43443,1.4345
1641780000,1.4345,1.43465,1.43356,1.4338
1641783600,1.4338,1.43395,1.43343,1.43355
1641787200,1.43355,1.43362,1.43274,1.43302
1641790800,1.43302,1.43362,1.43284,1.43306
1641794400,1.43306,1.4337,1.43287,1.43318
1641798000,1.43318,1.43343,1.43118,1.4313
1641801600,1.4313,1.43249,1.43077,1.43191
1641805200,1.43191,1.43218,1.42929,1.42987
1641808800,1.42987,1.43004,1.42845,1.43001
1641812400,1.43001,1.43153,1.42946,1.43045
1641816000,1.43045,1.4331,1.43023,1.43277
1641819600,1.43277,1.43377,1.43027,1.43066
1641823200,1.43066,1.43284,1.42997,1.43261
1641826800,1.43261,1.43694,1.43224,1.43492
1641830400,1.43492,1.43668,1.43478,1.43617
1641834000,1.43617,1.43867,1.43588,1.43807
1641837600,1.43807,1.43871,1.43567,1.43576
1641841200,1.43576,1.43665,1.43504,1.43567
1641844800,1.43567,1.43693,1.43532,1.43552
1641848400,1.43552,1.43682,1.43545,1.43601
1641852000,1.43601,1.43643,1.43516,1.43613
1641855600,1.43613,1.43641,1.43508,1.43511
1641859200,1.43511,1.43595,1.43479,1.43493
1641862800,1.43493,1.43623,1.43473,1.43594
1641866400,1.43594,1.43615,1.43465,1.43489
1641870000,1.43489,1.43497,1.43418,1.43474
1641873600,1.43474,1.43519,1.43454,1.43504
1641877200,1.43504,1.43521,1.4342,1.43425
1641880800,1.43425,1.43576,1.43425,1.43538
1641884400,1.43538,1.43548,1.4335,1.43427
1641888000,1.43427,1.43574,1.4338,1.43522
1641891600,1.43522,1.43535,1.4319,1.43259
1641895200,1.43259,1.43327,1.43195,1.43227
1641898800,1.43227,1.43373,1.43194,1.43318
1641902400,1.43318,1.43351,1.43221,1.43241
1641906000,1.43241,1.43397,1.43162,1.43266
1641909600,1.43266,1.43398,1.43194,1.43196
1641913200,1.43196,1.4328,1.43021,1.43217
1641916800,1.43217,1.43303,1.43141,1.43141
1641920400,1.43141,1.43191,1.42905,1.42927
1641924000,1.42927,1.42982,1.42854,1.42881
1641927600,1.42881,1.43054,1.42881,1.43024
1641931200,1.43024,1.43047,1.42924,1.42943
1641934800,1.42943,1.43007,1.42898,1.42924
1641938400,1.42924,1.43006,1.42924,1.42965
1641942000,1.42965,1.42972,1.42892,1.4296
1641945600,1.4296,1.43024,1.42896,1.42901
1641949200,1.42901,1.42913,1.42793,1.42891
1641952800,1.42891,1.42899,1.42744,1.42771
1641956400,1.42771,1.42827,1.42765,1.42791
1641960000,1.42791,1.42801,1.42759,1.42776
1641963600,1.42776,1.42812,1.42701,1.4278
1641967200,1.4278,1.42812,1.42727,1.42745
1641970800,1.42745,1.42861,1.42726,1.42826
1641974400,1.42826,1.42851,1.42674,1.4277
1641978000,1.4277,1.42793,1.4258,1.42643
1641981600,1.42643,1.42647,1.4238,1.42386
1641985200,1.42386,1.42552,1.42349,1.42552
1641988800,1.42552,1.42706,1.42523,1.42574
1641992400,1.42574,1.42894,1.42457,1.42831
1641996000,1.42831,1.42962,1.42753,1.42948
1641999600,1.42948,1.43036,1.42812,1.4286
1642003200,1.4286,1.42985,1.42824,1.42889
1642006800,1.42889,1.43095,1.4287,1.4303
1642010400,1.4303,1.43107,1.43007,1.4305
1642014000,1.4305,1.43207,1.43041,1.43139
1642017600,1.43139,1.43205,1.43108,1.43166
1642021200,1.43166,1.43188,1.43052,1.4314
1642024800,1.4314,1.43153,1.4306,1.43089
1642028400,1.43089,1.43114,1.4303,1.43031
1642032000,1.43031,1.43146,1.4303,1.43088
1642035600,1.43088,1.43127,1.4305,1.43079
1642039200,1.43079,1.4312,1.4299,1.42998
1642042800,1.42998,1.43083,1.42981,1.43017
1642046400,1.43017,1.43056,1.42982,1.42983
1642050000,1.42983,1.43122,1.42973,1.43105
1642053600,1.43105,1.43115,1.42965,1.4297
1642057200,1.4297,1.43201,1.42969,1.4314
1642060800,1.4314,1.43251,1.43053,1.4314
1642064400,1.4314,1.43252,1.431,1.43191
1642068000,1.43191,1.43267,1.43036,1.43047
1642071600,1.43047,1.43148,1.4299,1.43052
1642075200,1.43052,1.43107,1.42969,1.43068
1642078800,1.43068,1.43122,1.42891,1.42957
1642082400,1.42957,1.43019,1.42903,1.4297
1642086000,1.4297,1.43121,1.42937,1.43087
1642089600,1.43087,1.43289,1.43017,1.43111
1642093200,1.43111,1.43275,1.43079,1.4318
1642096800,1.4318,1.43249,1.431,1.43106
1642100400,1.43106,1.43254,1.43078,1.43136
1642104000,1.43136,1.43376,1.43122,1.43348
1642107600,1.43348,1.43428,1.43251,1.43415
1642111200,1.43415,1.43419,1.43275,1.43361
1642114800,1.43361,1.43379,1.43292,1.43307
1642118400,1.43307,1.43411,1.43303,1.43394
1642122000,1.43394,1.43585,1.43382,1.43547
1642125600,1.43547,1.43573,1.43463,1.43499
1642129200,1.43499,1.43589,1.43474,1.4351
1642132800,1.4351,1.4351,1.43398,1.43424
1642136400,1.43424,1.43499,1.43376,1.43377
1642140000,1.43377,1.43382,1.4324,1.43247
1642143600,1.43247,1.43385,1.43211,1.43268
1642147200,1.43268,1.43364,1.43016,1.43044
1642150800,1.43044,1.43125,1.42997,1.43019
1642154400,1.43019,1.43137,1.43013,1.43102
1642158000,1.43102,1.43102,1.42925,1.43017
1642161600,1.43017,1.43309,1.43008,1.43232
1642165200,1.43232,1.43416,1.43169,1.43288
1642168800,1.43288,1.43383,1.43117,1.43157
1642172400,1.43157,1.43452,1.43045,1.43411
1642176000,1.43411,1.43458,1.4313,1.43214
1642179600,1.43214,1.43271,1.43151,1.4326
1642183200,1.4326,1.43412,1.43253,1.43347
1642186800,1.43347,1.43447,1.43335,1.43392
1642190400,1.43392,1.43457,1.43224,1.43288
1642194000,1.43288,1.43314,1.43152,1.43229
1642370400,1.43229,1.43274,1.43085,1.43194
1642374000,1.43194,1.43263,1.43092,1.4312
1642377600,1.4312,1.43182,1.4305,1.43105
1642381200,1.43105,1.43163,1.43058,1.43109
1642384800,1.43109,1.4318,1.43069,1.43153
1642388400,1.43153,1.43192,1.4312,1.4317
1642392000,1.4317,1.43217,1.43129,1.43198
1642395600,1.43198,1.43292,1.43175,1.43223
1642399200,1.43223,1.43258,1.43138,1.43157
1642402800,1.43157,1.43231,1.43082,1.43093
1642406400,1.43093,1.43143,1.42968,1.42989
1642410000,1.42989,1.43102,1.42849,1.4292
1642413600,1.4292,1.42939,1.42758,1.42817
1642417200,1.42817,1.42912,1.42761,1.42875
1642420800,1.42875,1.42983,1.42831,1.4284
1642424400,1.4284,1.42928,1.42764,1.4285
1642428000,1.4285,1.42956,1.42795,1.42914
1642431600,1.42914,1.42914,1.42547,1.42769
1642435200,1.42769,1.42815,1.42705,1.42753
1642438800,1.42753,1.42828,1.42726,1.42789
1642442400,1.42789,1.42854,1.42785,1.42821
1642446000,1.42821,1.42831,1.42771,1.42773
1642449600,1.42773,1.42862,1.42773,1.42853
1642453200,1.42853,1.42856,1.42761,1.42814
1642456800,1.42814,1.42889,1.42759,1.42797
1642460400,1.42797,1.42818,1.42756,1.42813
1642464000,1.42813,1.42813,1.42736,1.42748
1642467600,1.42748,1.42811,1.42608,1.42631
1642471200,1.42631,1.42693,1.42586,1.4261
1642474800,1.4261,1.4277,1.42544,1.42732
1642478400,1.42732,1.42807,1.42697,1.42719
1642482000,1.42719,1.4273,1.42611,1.42671
1642485600,1.42671,1.42675,1.42526,1.42574
1642489200,1.42574,1.42672,1.42467,1.42482
1642492800,1.42482,1.4266,1.42462,1.42539
1642496400,1.42539,1.4275,1.42505,1.4272
1642500000,1.4272,1.42765,1.42519,1.42554
1642503600,1.42554,1.42578,1.42261,1.42345
1642507200,1.42345,1.42475,1.42324,1.42387
1642510800,1.42387,1.42408,1.42242,1.42316
1642514400,1.42316,1.42397,1.42204,1.4225
1642518000,1.4225,1.42289,1.42046,1.42111
1642521600,1.42111,1.42203,1.41973,1.42104
1642525200,1.42104,1.42262,1.4209,1.42167
1642528800,1.42167,1.42211,1.4202,1.42049
1642532400,1.42049,1.42056,1.41626,1.41626
1642536000,1.41626,1.4177,1.41626,1.41669
1642539600,1.41669,1.4176,1.41658,1.41715
1642543200,1.41715,1.41792,1.4169,1.41709
1642546800,1.41709,1.41711,1.41585,1.4159
1642550400,1.4159,1.41684,1.41552,1.41684
1642554000,1.41684,1.41685,1.41454,1.41532
1642557600,1.41532,1.41567,1.41398,1.4155
1642561200,1.4155,1.41717,1.41536,1.41645
1642564800,1.41645,1.41672,1.41507,1.41658
1642568400,1.41658,1.41718,1.4161,1.41649
1642572000,1.41649,1.41818,1.41601,1.41796
1642575600,1.41796,1.41973,1.41791,1.4186
1642579200,1.4186,1.4194,1.41624,1.41643
1642582800,1.41643,1.41722,1.41511,1.41527
1642586400,1.41527,1.41592,1.41451,1.41516
1642590000,1.41516,1.41561,1.41436,1.41449
1642593600,1.41449,1.41548,1.41393,1.41465
1642597200,1.41465,1.41565,1.41292,1.4156
1642600800,1.4156,1.41804,1.4156,1.41732
1642604400,1.41732,1.42008,1.41721,1.42
1642608000,1.42,1.42075,1.41706,1.41863
1642611600,1.41863,1.41869,1.41645,1.41669
1642615200,1.41669,1.41767,1.41636,1.41761
1642618800,1.41761,1.41832,1.41712,1.41778
1642622400,1.41778,1.41874,1.41744,1.41846
1642626000,1.41846,1.41979,1.41825,1.41946
1642629600,1.41946,1.41993,1.41869,1.419
1642633200,1.419,1.41978,1.41886,1.41913
1642636800,1.41913,1.41977,1.41844,1.41905
1642640400,1.41905,1.42101,1.41844,1.42073
1642644000,1.42073,1.42075,1.41933,1.41947
1642647600,1.41947,1.41951,1.41818,1.4187
1642651200,1.4187,1.4187,1.41801,1.41824
1642654800,1.41824,1.41849,1.41768,1.41803
1642658400,1.41803,1.41816,1.41729,1.41751
1642662000,1.41751,1.4198,1.41699,1.41885
1642665600,1.41885,1.4198,1.41845,1.41865
1642669200,1.41865,1.41873,1.41681,1.41704
1642672800,1.41704,1.41812,1.41597,1.41784
1642676400,1.41784,1.41784,1.41532,1.41633
1642680000,1.41633,1.41686,1.41577,1.41658
1642683600,1.41658,1.4181,1.41567,1.41655
1642687200,1.41655,1.41715,1.41492,1.41538
1642690800,1.41538,1.41581,1.41332,1.41356
1642694400,1.41356,1.41473,1.41264,1.41276
1642698000,1.41276,1.41329,1.41124,1.41164
1642701600,1.41164,1.41237,1.41036,1.41059
1642705200,1.41059,1.4118,1.41002,1.41085
1642708800,1.41085,1.41474,1.41075,1.41462
1642712400,1.41462,1.41479,1.41367,1.41434
1642716000,1.41434,1.41462,1.4141,1.41449
1642719600,1.41449,1.41556,1.41403,1.41421
1642723200,1.41421,1.41595,1.41411,1.41538
1642726800,1.41538,1.41777,1.41531,1.41715
1642730400,1.41715,1.41911,1.41624,1.41904
1642734000,1.41904,1.41993,1.41793,1.41896
1642737600,1.41896,1.419,1.41798,1.41855
1642741200,1.41855,1.41875,1.41737,1.41772
1642744800,1.41772,1.41884,1.4177,1.41869
1642748400,1.41869,1.41907,1.41755,1.41796
1642752000,1.41796,1.42106,1.4179,1.41952
1642755600,1.41952,1.42174,1.41952,1.42023
1642759200,1.42023,1.42067,1.41798,1.41824
1642762800,1.41824,1.41898,1.41794,1.41876
1642766400,1.41876,1.4213,1.41862,1.42025
1642770000,1.42025,1.42181,1.41993,1.42079
1642773600,1.42079,1.42313,1.42036,1.42248
1642777200,1.42248,1.42448,1.42088,1.42201
1642780800,1.42201,1.42343,1.42045,1.42289
1642784400,1.42289,1.42453,1.42229,1.42426
1642788000,1.42426,1.42513,1.42335,1.42436
1642791600,1.42436,1.42617,1.42418,1.42594
1642795200,1.42594,1.42724,1.42578,1.42715
1642798800,1.42715,1.4279,1.42636,1.42746
1642975200,1.42746,1.42752,1.42644,1.42657
1642978800,1.42657,1.42675,1.42466,1.42466
1642982400,1.42466,1.42583,1.42438,1.42528
1642986000,1.42528,1.42536,1.4243,1.42441
1642989600,1.42441,1.4246,1.42346,1.42352
1642993200,1.42352,1.42371,1.42296,1.42304
1642996800,1.42304,1.42307,1.42245,1.42275
1643000400,1.42275,1.42358,1.42225,1.42236
1643004000,1.42236,1.42409,1.42236,1.42409
1643007600,1.42409,1.42552,1.42378,1.42418
1643011200,1.42418,1.42615,1.42218,1.42596
1643014800,1.42596,1.42778,1.42565,1.42665
1643018400,1.42665,1.42881,1.42664,1.42688
1643022000,1.42688,1.42717,1.42505,1.42533
1643025600,1.42533,1.4269,1.42507,1.42598
1643029200,1.42598,1.42943,1.42567,1.42864
1643032800,1.42864,1.42953,1.42658,1.4293
1643036400,1.4293,1.43291,1.42903,1.43198
1643040000,1.43198,1.43677,1.43167,1.43498
1643043600,1.43498,1.43729,1.43498,1.43569
1643047200,1.43569,1.43645,1.43269,1.43272
1643050800,1.43272,1.43366,1.43155,1.43176
1643054400,1.43176,1.43235,1.42925,1.43106
1643058000,1.43106,1.43157,1.43018,1.43134
1643061600,1.43134,1.43157,1.43011,1.43123
1643065200,1.43123,1.43185,1.42971,1.42975
1643068800,1.42975,1.43052,1.4284,1.43037
1643072400,1.43037,1.43186,1.4301,1.43034
1643076000,1.43034,1.43109,1.42996,1.43005
1643079600,1.43005,1.43127,1.43004,1.43054
1643083200,1.43054,1.43205,1.43054,1.43136
1643086800,1.43136,1.43197,1.42899,1.42922
1643090400,1.42922,1.42969,1.42814,1.42839
1643094000,1.42839,1.43083,1.4282,1.42844
1643097600,1.42844,1.43068,1.42742,1.42848
1643101200,1.42848,1.42922,1.42566,1.42632
1643104800,1.42632,1.42692,1.42517,1.42567
1643108400,1.42567,1.42595,1.42442,1.42508
1643112000,1.42508,1.42668,1.42465,1.42487
1643115600,1.42487,1.42637,1.42416,1.42548
1643119200,1.42548,1.42774,1.42255,1.42741
1643122800,1.42741,1.42821,1.42354,1.42453
1643126400,1.42453,1.4269,1.42411,1.42611
1643130000,1.42611,1.4263,1.42426,1.42536
1643133600,1.42536,1.42603,1.42373,1.42411
1643137200,1.42411,1.42486,1.42349,1.42424
1643140800,1.42424,1.427,1.42396,1.42667
1643144400,1.42667,1.42766,1.42607,1.42723
1643148000,1.42723,1.42774,1.42637,1.42757
1643151600,1.42757,1.42767,1.4261,1.42615
1643155200,1.42615,1.42769,1.42612,1.42726
1643158800,1.42726,1.42754,1.42598,1.42605
1643162400,1.42605,1.42611,1.42476,1.42598
1643166000,1.42598,1.42618,1.42481,1.42531
1643169600,1.42531,1.42546,1.42415,1.42416
1643173200,1.42416,1.4255,1.42415,1.42501
1643176800,1.42501,1.42528,1.42264,1.42357
1643180400,1.42357,1.42419,1.42209,1.42243
1643184000,1.42243,1.42256,1.42045,1.42103
1643187600,1.42103,1.42109,1.4186,1.4193
1643191200,1.4193,1.41969,1.41723,1.41803
1643194800,1.41803,1.41875,1.41694,1.41707
1643198400,1.41707,1.41823,1.4164,1.4172
1643202000,1.4172,1.41913,1.41661,1.41899
1643205600,1.41899,1.42201,1.41815,1.41868
1643209200,1.41868,1.42691,1.41798,1.42439
1643212800,1.42439,1.42475,1.42041,1.42103
1643216400,1.42103,1.4218,1.42046,1.4205
1643220000,1.4205,1.4234,1.4205,1.42289
1643223600,1.42289,1.42523,1.41995,1.42424
1643227200,1.42424,1.42635,1.42347,1.42482
1643230800,1.42482,1.42512,1.42347,1.42401
1643234400,1.42401,1.42443,1.42326,1.42376
1643238000,1.42376,1.42379,1.42251,1.42271
1643241600,1.42271,1.42489,1.42263,1.42476
1643245200,1.42476,1.42655,1.42463,1.42629
1643248800,1.42629,1.42681,1.42501,1.42583
1643252400,1.42583,1.42638,1.42541,1.42589
1643256000,1.42589,1.42678,1.42588,1.42629
1643259600,1.42629,1.42645,1.42569,1.4258
1643263200,1.4258,1.42777,1.42559,1.4267
1643266800,1.4267,1.42698,1.42448,1.42502
1643270400,1.42502,1.42516,1.41965,1.41975
1643274000,1.41975,1.42114,1.41831,1.41859
1643277600,1.41859,1.42143,1.41782,1.42123
1643281200,1.42123,1.42144,1.41691,1.41737
1643284800,1.41737,1.41814,1.41624,1.41681
1643288400,1.41681,1.41697,1.4128,1.41299
1643292000,1.41299,1.41459,1.41188,1.41454
1643295600,1.41454,1.41682,1.41317,1.41672
1643299200,1.41672,1.41857,1.41594,1.41601
1643302800,1.41601,1.41878,1.41543,1.41813
1643306400,1.41813,1.41968,1.41788,1.41841
1643310000,1.41841,1.42017,1.41759,1.41986
1643313600,1.41986,1.42065,1.41903,1.42022
1643317200,1.42022,1.42056,1.4197,1.42027
1643320800,1.42027,1.42071,1.41926,1.4195
1643324400,1.4195,1.42068,1.41899,1.42065
1643328000,1.42065,1.42074,1.41917,1.41946
1643331600,1.41946,1.4198,1.41868,1.4192
1643335200,1.4192,1.41956,1.41776,1.41788
1643338800,1.41788,1.4193,1.41781,1.41912
1643342400,1.41912,1.41996,1.41884,1.41995
1643346000,1.41995,1.42022,1.41798,1.41854
1643349600,1.41854,1.41907,1.41817,1.41842
1643353200,1.41842,1.41956,1.41809,1.41914
1643356800,1.41914,1.42216,1.41869,1.42189
1643360400,1.42189,1.42288,1.42125,1.42257
1643364000,1.42257,1.42504,1.42247,1.42422
1643367600,1.42422,1.42468,1.4231,1.42323
1643371200,1.42323,1.42518,1.42304,1.42329
1643374800,1.42329,1.42506,1.42204,1.42498
1643378400,1.42498,1.42533,1.42262,1.42495
1643382000,1.42495,1.4264,1.42197,1.42562
1643385600,1.42562,1.42612,1.42257,1.42331
1643389200,1.42331,1.42585,1.42311,1.42541
1643392800,1.42541,1.42543,1.42396,1.42472
1643396400,1.42472,1.42599,1.42436,1.42492
1643400000,1.42492,1.42495,1.423,1.4243
1643403600,1.4243,1.42472,1.42274,1.42362
1643580000,1.42349,1.42383,1.4232,1.42344
1643583600,1.42344,1.42423,1.42281,1.42302
1643587200,1.42302,1.4237,1.42177,1.42242
1643590800,1.42242,1.42245,1.42138,1.42215
1643594400,1.42215,1.42243,1.42104,1.42133
1643598000,1.42133,1.42176,1.42075,1.42128
1643601600,1.42128,1.42204,1.42128,1.42172
1643605200,1.42172,1.42229,1.4214,1.4215
1643608800,1.4215,1.42183,1.42071,1.42091
1643612400,1.42091,1.4215,1.42054,1.42139
1643616000,1.42139,1.42305,1.42098,1.42148
1643619600,1.42148,1.42312,1.42091,1.42285
1643623200,1.42285,1.42405,1.42273,1.42279
1643626800,1.42279,1.42284,1.42106,1.42195
1643630400,1.42195,1.42421,1.42179,1.42187
1643634000,1.42187,1.4267,1.42163,1.42596
1643637600,1.42596,1.42836,1.42549,1.42765
