time,open,high,low,close
1641160800,130.908,131.015,130.852,130.947
1641164400,130.947,130.991,130.92,130.953
1641168000,130.953,131.0,130.912,130.98
1641171600,130.98,131.004,130.792,130.869
1641175200,130.869,130.87,130.751,130.756
1641178800,130.756,130.855,130.741,130.82
1641182400,130.82,130.827,130.71,130.724
1641186000,130.724,130.776,130.697,130.738
1641189600,130.738,130.857,130.738,130.828
1641193200,130.828,130.854,130.707,130.837
1641196800,130.837,130.837,130.668,130.782
1641200400,130.782,130.812,130.603,130.748
1641204000,130.748,130.804,130.674,130.678
1641207600,130.678,130.795,130.571,130.667
1641211200,130.667,130.728,130.611,130.704
1641214800,130.704,130.731,130.51,130.702
1641218400,130.702,130.717,130.329,130.366
1641222000,130.366,130.408,130.178,130.19
1641225600,130.19,130.282,130.048,130.123
1641229200,130.123,130.162,130.026,130.125
1641232800,130.125,130.253,130.114,130.207
1641236400,130.207,130.298,130.202,130.298
1641240000,130.298,130.31,130.234,130.3
1641243600,130.3,130.328,130.258,130.264
1641247200,130.264,130.308,130.227,130.276
1641250800,130.276,130.366,130.245,130.347
1641254400,130.347,130.493,130.323,130.459
1641258000,130.459,130.543,130.411,130.5
1641261600,130.5,130.668,130.477,130.654
1641265200,130.654,130.855,130.621,130.727
1641268800,130.727,130.876,130.721,130.85
1641272400,130.85,130.897,130.827,130.853
1641276000,130.853,130.854,130.742,130.777
1641279600,130.777,130.78,130.532,130.688
1641283200,130.688,130.864,130.657,130.782
1641286800,130.782,130.971,130.749,130.914
1641290400,130.914,131.001,130.887,130.902
1641294000,130.902,131.065,130.873,130.971
1641297600,130.971,131.189,130.952,131.114
1641301200,131.114,131.316,131.097,131.143
1641304800,131.143,131.267,131.123,131.172
1641308400,131.172,131.461,131.103,131.342
1641312000,131.342,131.346,131.02,131.176
1641315600,131.176,131.24,131.138,131.203
1641319200,131.203,131.208,131.035,131.035
1641322800,131.035,131.132,131.025,131.067
1641326400,131.067,131.098,130.981,131.015
1641330000,131.015,131.092,131.014,131.091
1641333600,131.091,131.108,131.034,131.054
1641337200,131.054,131.181,131.041,131.081
1641340800,131.081,131.119,131.0,131.043
1641344400,131.043,131.104,130.843,130.925
1641348000,130.925,131.023,130.909,130.977
1641351600,130.977,131.046,130.892,131.042
1641355200,131.042,131.042,130.939,131.015
1641358800,131.015,131.068,130.983,131.012
1641362400,131.012,131.098,130.983,131.014
1641366000,131.014,131.151,130.954,131.105
1641369600,131.105,131.159,130.983,131.027
1641373200,131.027,131.091,130.885,130.991
1641376800,130.991,131.015,130.889,130.912
1641380400,130.912,131.022,130.89,130.936
1641384000,130.936,131.051,130.892,130.946
1641387600,130.946,131.159,130.896,131.134
1641391200,131.134,131.215,131.075,131.193
1641394800,131.193,131.365,131.189,131.266
1641398400,131.266,131.41,131.233,131.379
1641402000,131.379,131.581,131.371,131.529
1641405600,131.529,131.6,131.462,131.541
1641409200,131.541,131.583,131.305,131.377
1641412800,131.377,131.378,131.271,131.348
1641416400,131.348,131.391,131.296,131.386
1641420000,131.386,131.429,131.315,131.343
1641423600,131.343,131.375,131.301,131.351
1641427200,131.351,131.432,131.212,131.282
1641430800,131.282,131.287,131.123,131.192
1641434400,131.192,131.257,131.042,131.246
1641438000,131.246,131.246,131.059,131.099
1641441600,131.099,131.127,131.051,131.097
1641445200,131.097,131.156,130.99,131.039
1641448800,131.039,131.04,130.873,130.921
1641452400,130.921,130.957,130.762,130.813
1641456000,130.813,130.902,130.681,130.774
