time,open,high,low,close
1641160800,1.66236,1.6644,1.66236,1.66439
1641164400,1.66439,1.66442,1.66097,1.66286
1641168000,1.66286,1.66296,1.65924,1.65929
1641171600,1.65929,1.6615,1.65738,1.6611
1641175200,1.6611,1.66168,1.66006,1.66019
1641178800,1.66019,1.66252,1.65943,1.66126
1641182400,1.66126,1.66129,1.66015,1.66023
1641186000,1.66023,1.66078,1.66001,1.66008
1641189600,1.66008,1.66079,1.65954,1.65955
1641193200,1.65955,1.66032,1.65919,1.66018
1641196800,1.66018,1.66018,1.65637,1.65865
1641200400,1.65865,1.66231,1.65836,1.66166
1641204000,1.66166,1.66401,1.66136,1.66371
1641207600,1.66371,1.66511,1.66184,1.66188
1641211200,1.66188,1.66422,1.66146,1.66411
1641214800,1.66411,1.6684,1.66356,1.66829
1641218400,1.66829,1.66914,1.66652,1.66668
1641222000,1.66668,1.66776,1.66574,1.66641
1641225600,1.66641,1.66709,1.66271,1.66379
1641229200,1.66379,1.66395,1.66142,1.66173
1641232800,1.66173,1.66294,1.66082,1.66244
1641236400,1.66244,1.66438,1.66242,1.66432
1641240000,1.66432,1.66558,1.66389,1.66511
1641243600,1.66511,1.66569,1.66444,1.66506
1641247200,1.66506,1.66709,1.66448,1.66551
1641250800,1.66551,1.66581,1.66388,1.66483
1641254400,1.66483,1.66577,1.66349,1.66362
1641258000,1.66362,1.66571,1.66191,1.66534
1641261600,1.66534,1.66605,1.66371,1.66422
1641265200,1.66422,1.665,1.6636,1.66475
1641268800,1.66475,1.66475,1.66286,1.66387
1641272400,1.66387,1.6643,1.66263,1.66334
1641276000,1.66334,1.66417,1.66268,1.66326
1641279600,1.66326,1.66362,1.66156,1.66248
1641283200,1.66248,1.66397,1.66194,1.66263
1641286800,1.66263,1.66375,1.66204,1.66285
1641290400,1.66285,1.66517,1.66262,1.66416
1641294000,1.66416,1.66526,1.66334,1.66498
1641297600,1.66498,1.66674,1.66458,1.66615
1641301200,1.66615,1.66707,1.66329,1.66336
1641304800,1.66336,1.66403,1.66009,1.6613
1641308400,1.6613,1.66172,1.65855,1.65888
1641312000,1.65888,1.66092,1.65817,1.65928
1641315600,1.65928,1.65962,1.65791,1.65823
1641319200,1.65823,1.65927,1.65801,1.65895
1641322800,1.65895,1.65927,1.65752,1.65763
1641326400,1.65763,1.6581,1.65668,1.65746
1641330000,1.65746,1.65813,1.65606,1.6577
1641333600,1.6577,1.65903,1.65746,1.65877
1641337200,1.65877,1.65877,1.65506,1.65618
1641340800,1.65618,1.65618,1.65421,1.65552
1641344400,1.65552,1.65841,1.65499,1.65798
1641348000,1.65798,1.66027,1.65764,1.65989
1641351600,1.65989,1.66127,1.65915,1.6592
1641355200,1.6592,1.65995,1.65899,1.65951
1641358800,1.65951,1.66083,1.65867,1.66024
1641362400,1.66024,1.66123,1.66022,1.66037
1641366000,1.66037,1.6622,1.66037,1.66161
1641369600,1.66161,1.66373,1.66041,1.66072
1641373200,1.66072,1.66082,1.65921,1.66069
1641376800,1.66069,1.6623,1.65977,1.66045
1641380400,1.66045,1.66126,1.65916,1.66011
1641384000,1.66011,1.66039,1.65829,1.6591
1641387600,1.6591,1.66044,1.65788,1.65992
1641391200,1.65992,1.66137,1.65867,1.6591
1641394800,1.6591,1.66119,1.65856,1.65944
1641398400,1.65944,1.66146,1.65887,1.66051
1641402000,1.66051,1.66132,1.66011,1.66028
1641405600,1.66028,1.66155,1.66004,1.66127
1641409200,1.66127,1.66468,1.66045,1.66445
1641412800,1.66445,1.66528,1.66381,1.66493
1641416400,1.66493,1.6657,1.66386,1.66565
1641420000,1.66565,1.66602,1.6637,1.66468
1641423600,1.66468,1.66599,1.66459,1.66518
1641427200,1.66518,1.66646,1.66502,1.66562
1641430800,1.66562,1.66771,1.66516,1.66609
1641434400,1.66609,1.66987,1.66594,1.66945
