time,open,high,low,close
1641160800,1.13757,1.13778,1.1367,1.13748
1641164400,1.13748,1.13787,1.13696,1.1373
1641168000,1.1373,1.13759,1.1361,1.13621
1641171600,1.13621,1.13653,1.13502,1.13586
1641175200,1.13586,1.13586,1.13426,1.13428
1641178800,1.13428,1.13501,1.13413,1.13484
1641182400,1.13484,1.13491,1.13387,1.13406
1641186000,1.13406,1.13413,1.13362,1.13381
1641189600,1.13381,1.13464,1.13379,1.13433
1641193200,1.13433,1.13502,1.13351,1.13483
1641196800,1.13483,1.13483,1.13354,1.13466
1641200400,1.13466,1.13564,1.13358,1.13519
1641204000,1.13519,1.13599,1.13506,1.13554
1641207600,1.13554,1.13664,1.13518,1.13557
1641211200,1.13557,1.13595,1.13471,1.13589
1641214800,1.13589,1.13643,1.1346,1.13508
1641218400,1.13508,1.1352,1.13002,1.13061
1641222000,1.13061,1.13094,1.12904,1.12919
1641225600,1.12919,1.12989,1.12829,1.12888
1641229200,1.12888,1.129,1.12798,1.1284
1641232800,1.1284,1.12971,1.12832,1.1295
1641236400,1.1295,1.12996,1.12939,1.12975
1641240000,1.12975,1.13003,1.12941,1.12965
1641243600,1.12965,1.12994,1.12947,1.12963
1641247200,1.12963,1.12988,1.12944,1.12958
1641250800,1.12958,1.13026,1.12955,1.13021
1641254400,1.13021,1.1307,1.13015,1.13059
1641258000,1.13059,1.13089,1.13015,1.13067
1641261600,1.13067,1.13096,1.12998,1.13023
1641265200,1.13023,1.13045,1.12955,1.12979
1641268800,1.12979,1.13057,1.12965,1.13007
1641272400,1.13007,1.13058,1.13006,1.13049
1641276000,1.13049,1.1307,1.12921,1.12929
1641279600,1.12929,1.12945,1.12833,1.12917
1641283200,1.12917,1.13005,1.12876,1.12897
1641286800,1.12897,1.13082,1.12833,1.13021
1641290400,1.13021,1.13057,1.12947,1.12947
1641294000,1.12947,1.12963,1.12762,1.12762
1641297600,1.12762,1.12836,1.12724,1.12732
1641301200,1.12732,1.12901,1.12731,1.128
1641304800,1.128,1.12882,1.12775,1.12849
1641308400,1.12849,1.13226,1.12836,1.1309
1641312000,1.1309,1.13158,1.12857,1.12947
1641315600,1.12947,1.12961,1.12885,1.12939
1641319200,1.12939,1.12944,1.12796,1.12803
1641322800,1.12803,1.12931,1.12781,1.12877
1641326400,1.12877,1.12896,1.12809,1.12847
1641330000,1.12847,1.1288,1.12814,1.1287
1641333600,1.1287,1.12874,1.12844,1.12853
1641337200,1.12853,1.12872,1.12819,1.12831
1641340800,1.12831,1.12858,1.12771,1.12773
1641344400,1.12773,1.12888,1.12773,1.12858
1641348000,1.12858,1.12943,1.12851,1.12921
1641351600,1.12921,1.12969,1.12913,1.1296
1641355200,1.1296,1.1296,1.12884,1.12889
1641358800,1.12889,1.12948,1.12874,1.1294
1641362400,1.1294,1.13013,1.12931,1.1296
1641366000,1.1296,1.13028,1.12948,1.12988
1641369600,1.12988,1.13111,1.12968,1.1303
1641373200,1.1303,1.13087,1.13001,1.13063
1641376800,1.13063,1.13142,1.13044,1.13083
1641380400,1.13083,1.13239,1.13067,1.13192
1641384000,1.13192,1.13262,1.13048,1.13079
1641387600,1.13079,1.13288,1.13033,1.13239
1641391200,1.13239,1.13388,1.13212,1.13359
1641394800,1.13359,1.13442,1.13325,1.13374
1641398400,1.13374,1.13396,1.1323,1.13341
1641402000,1.13341,1.13465,1.13335,1.13414
1641405600,1.13414,1.13446,1.13357,1.13373
1641409200,1.13373,1.13398,1.13081,1.13104
1641412800,1.13104,1.13131,1.13023,1.13113
1641416400,1.13113,1.13145,1.1308,1.13143
1641420000,1.13143,1.13161,1.13087,1.13103
1641423600,1.13103,1.13144,1.13091,1.13108
1641427200,1.13108,1.13134,1.13077,1.13082
1641430800,1.13082,1.13188,1.13051,1.13167
1641434400,1.13167,1.13206,1.13121,1.13193
1641438000,1.13193,1.13193,1.13087,1.13152
1641441600,1.13152,1.13164,1.13114,1.13123
1641445200,1.13123,1.13125,1.13071,1.13093
1641448800,1.13093,1.13093,1.12962,1.12972
1641452400,1.12972,1.12975,1.12847,1.12897
1641456000,1.12897,1.13095,1.12849,1.12937
1641459600,1.12937,1.13087,1.12887,1.13053
1641463200,1.13053,1.1327,1.13046,1.13124
1641466800,1.13124,1.13216,1.13022,1.13133
1641470400,1.13133,1.13184,1.13049,1.13135
1641474000,1.13135,1.13202,1.1303,1.13123
1641477600,1.13123,1.1332,1.13064,1.13222
1641481200,1.13222,1.13299,1.12931,1.1296
1641484800,1.1296,1.13093,1.12904,1.13073
1641488400,1.13073,1.13093,1.12935,1.1296
1641492000,1.1296,1.12979,1.12883,1.12919
1641495600,1.12919,1.12998,1.1287,1.1287
1641499200,1.1287,1.12941,1.12862,1.12914
1641502800,1.12914,1.13,1.12874,1.12977
1641506400,1.12977,1.13015,1.12948,1.12968
1641510000,1.12968,1.12985,1.1294,1.1295
1641513600,1.1295,1.12979,1.12901,1.12957
1641517200,1.12957,1.13008,1.12957,1.13008
1641520800,1.13008,1.13019,1.12952,1.12958
1641524400,1.12958,1.13019,1.12958,1.12992
1641528000,1.12992,1.13033,1.12981,1.13009
1641531600,1.13009,1.13034,1.13001,1.13023
1641535200,1.13023,1.13034,1.12983,1.12992
1641538800,1.12992,1.13062,1.12982,1.13056
1641542400,1.13056,1.13152,1.13016,1.13122
1641546000,1.13122,1.13176,1.13096,1.13149
1641549600,1.13149,1.13192,1.13036,1.13062
1641553200,1.13062,1.13082,1.1301,1.13046
1641556800,1.13046,1.13053,1.12961,1.12974
1641560400,1.12974,1.13227,1.12924,1.13018
1641564000,1.13018,1.13344,1.12989,1.13303
1641567600,1.13303,1.13494,1.13296,1.13473
1641571200,1.13473,1.13572,1.13378,1.13564
1641574800,1.13564,1.13583,1.13494,1.1357
1641578400,1.1357,1.13622,1.13552,1.13576
1641582000,1.13576,1.13649,1.13568,1.13629
1641585600,1.13629,1.13642,1.13574,1.13615
1641589200,1.13615,1.13623,1.13588,1.13606
1641765600,1.13606,1.13606,1.13541,1.13582
1641769200,1.13582,1.13611,1.13498,1.13535
1641772800,1.13535,1.13582,1.13514,1.13552
1641776400,1.13552,1.13565,1.13501,1.13503
1641780000,1.13503,1.1352,1.13393,1.13396
1641783600,1.13396,1.13399,1.13338,1.13376
1641787200,1.13376,1.13409,1.13334,1.13343
1641790800,1.13343,1.13355,1.1332,1.1335
1641794400,1.1335,1.13355,1.13265,1.13335
1641798000,1.13335,1.13364,1.13271,1.13292
1641801600,1.13292,1.13362,1.13208,1.13357
1641805200,1.13357,1.13446,1.13259,1.13267
1641808800,1.13267,1.13344,1.13225,1.13298
1641812400,1.13298,1.13362,1.13225,1.13257
1641816000,1.13257,1.13296,1.13118,1.13163
1641819600,1.13163,1.13243,1.12951,1.12971
1641823200,1.12971,1.1298,1.12851,1.12972
1641826800,1.12972,1.13274,1.12928,1.13187
1641830400,1.13187,1.13289,1.13162,1.13276
1641834000,1.13276,1.13348,1.13276,1.13287
1641837600,1.13287,1.13312,1.13211,1.13224
1641841200,1.13224,1.13271,1.13201,1.13235
1641844800,1.13235,1.13303,1.13225,1.13263
1641848400,1.13263,1.13301,1.13252,1.13262
1641852000,1.13262,1.13297,1.13225,1.13272
1641855600,1.13272,1.13328,1.13272,1.13301
1641859200,1.13301,1.1335,1.13286,1.13331
1641862800,1.13331,1.13419,1.13323,1.13366
1641866400,1.13366,1.13438,1.13346,1.13382
1641870000,1.13382,1.13427,1.13372,1.13417
1641873600,1.13417,1.13417,1.13378,1.1341
1641877200,1.1341,1.13443,1.13386,1.1339
1641880800,1.1339,1.13435,1.13317,1.13362
1641884400,1.13362,1.13444,1.13349,1.13418
1641888000,1.13418,1.13518,1.13393,1.13494
1641891600,1.13494,1.13521,1.13287,1.13334
1641895200,1.13334,1.1339,1.13267,1.13303
1641898800,1.13303,1.13436,1.13262,1.13388
1641902400,1.13388,1.1342,1.13306,1.13312
1641906000,1.13312,1.13386,1.13233,1.1326
1641909600,1.1326,1.13304,1.13131,1.13235
1641913200,1.13235,1.13455,1.13229,1.13403
1641916800,1.13403,1.13687,1.13402,1.1362
1641920400,1.1362,1.13634,1.1353,1.13542
1641924000,1.13542,1.13686,1.13522,1.13668
1641927600,1.13668,1.1375,1.13628,1.13669
1641931200,1.13669,1.13694,1.1364,1.13658
1641934800,1.13658,1.13698,1.13651,1.13671
1641938400,1.13671,1.1371,1.13648,1.13685
1641942000,1.13685,1.13713,1.13659,1.1366
1641945600,1.1366,1.13734,1.1366,1.1371
1641949200,1.1371,1.13721,1.13644,1.13702
1641952800,1.13702,1.13737,1.1368,1.13721
1641956400,1.13721,1.13756,1.13715,1.13747
1641960000,1.13747,1.13752,1.13727,1.13728
1641963600,1.13728,1.13781,1.13728,1.13733
1641967200,1.13733,1.13752,1.13643,1.13643
1641970800,1.13643,1.13677,1.13553,1.13585
1641974400,1.13585,1.13691,1.13552,1.1367
1641978000,1.1367,1.13736,1.13624,1.13673
1641981600,1.13673,1.13683,1.13548,1.13574
1641985200,1.13574,1.13653,1.13564,1.13618
1641988800,1.13618,1.13667,1.13598,1.13635
1641992400,1.13635,1.14151,1.13615,1.141
1641996000,1.141,1.14184,1.13947,1.14158
1641999600,1.14158,1.14251,1.14122,1.14203
1642003200,1.14203,1.14321,1.14189,1.14314
1642006800,1.14314,1.14452,1.14288,1.14439
1642010400,1.14439,1.14452,1.14385,1.1439
1642014000,1.1439,1.14528,1.14384,1.145
1642017600,1.145,1.14511,1.14444,1.14498
1642021200,1.14498,1.14506,1.14399,1.14428
1642024800,1.14428,1.14444,1.14404,1.14413
1642028400,1.14413,1.14451,1.14397,1.14397
1642032000,1.14397,1.14484,1.14394,1.14414
1642035600,1.14414,1.14451,1.14358,1.14391
1642039200,1.14391,1.1446,1.14383,1.14422
1642042800,1.14422,1.14435,1.14358,1.14423
1642046400,1.14423,1.14474,1.14423,1.14423
1642050000,1.14423,1.14465,1.14408,1.14413
1642053600,1.14413,1.14431,1.14385,1.14388
1642057200,1.14388,1.14665,1.14386,1.14648
1642060800,1.14648,1.14784,1.14623,1.14664
1642064400,1.14664,1.1475,1.14585,1.14715
1642068000,1.14715,1.14776,1.14575,1.14608
1642071600,1.14608,1.14697,1.14586,1.14626
1642075200,1.14626,1.14697,1.14534,1.14586
1642078800,1.14586,1.1472,1.1458,1.1472
1642082400,1.1472,1.14816,1.14684,1.14738
1642086000,1.14738,1.14775,1.14472,1.14606
1642089600,1.14606,1.14718,1.14568,1.14656
1642093200,1.14656,1.14673,1.14551,1.14615
1642096800,1.14615,1.14664,1.14576,1.14587
1642100400,1.14587,1.14654,1.14575,1.14616
1642104000,1.14616,1.14623,1.14509,1.14523
1642107600,1.14523,1.14558,1.14511,1.14548
1642111200,1.14548,1.14585,1.1454,1.14567
1642114800,1.14567,1.14596,1.1455,1.14567
1642118400,1.14567,1.14588,1.14514,1.14565
1642122000,1.14565,1.14683,1.14563,1.14662
1642125600,1.14662,1.14714,1.14626,1.14714
1642129200,1.14714,1.14758,1.14691,1.14739
1642132800,1.14739,1.14767,1.14711,1.14738
1642136400,1.14738,1.14829,1.14737,1.1479
1642140000,1.1479,1.14808,1.14691,1.14699
1642143600,1.14699,1.14723,1.14602,1.1466
1642147200,1.1466,1.14748,1.14625,1.14683
1642150800,1.14683,1.1469,1.14573,1.14584
1642154400,1.14584,1.14611,1.1454,1.14571
1642158000,1.14571,1.14593,1.14485,1.14521
1642161600,1.14521,1.14562,1.1442,1.14438
1642165200,1.14438,1.1455,1.14333,1.14382
