time,open,high,low,close
1641160800,1.86131,1.8636,1.86131,1.86197
1641164400,1.86197,1.86215,1.85903,1.86054
1641168000,1.86054,1.86106,1.85919,1.86046
1641171600,1.86046,1.86346,1.85879,1.863
1641175200,1.863,1.8642,1.86171,1.8621
1641178800,1.8621,1.86428,1.86149,1.86233
1641182400,1.86233,1.86277,1.8619,1.86204
1641186000,1.86204,1.86312,1.8618,1.86299
1641189600,1.86299,1.86335,1.86201,1.86204
1641193200,1.86204,1.8624,1.8606,1.86113
1641196800,1.86113,1.8625,1.86035,1.8624
1641200400,1.8624,1.86381,1.86202,1.86309
1641204000,1.86309,1.86421,1.86217,1.86371
1641207600,1.86371,1.86507,1.86332,1.86397
1641211200,1.86397,1.86544,1.86394,1.86438
1641214800,1.86438,1.8677,1.86384,1.86731
1641218400,1.86731,1.87177,1.86731,1.87044
1641222000,1.87044,1.87149,1.86833,1.87114
1641225600,1.87114,1.87249,1.86944,1.87198
1641229200,1.87198,1.87359,1.87121,1.87194
1641232800,1.87194,1.87274,1.87149,1.87221
1641236400,1.87221,1.87537,1.87221,1.87527
1641240000,1.87527,1.87585,1.87438,1.87537
1641243600,1.87537,1.87591,1.87403,1.87489
1641247200,1.87489,1.8757,1.87236,1.87446
1641250800,1.87446,1.87543,1.87285,1.87367
1641254400,1.87367,1.87384,1.87215,1.87251
1641258000,1.87251,1.87291,1.87074,1.87228
1641261600,1.87228,1.87304,1.87097,1.87155
1641265200,1.87155,1.87194,1.86885,1.86932
1641268800,1.86932,1.86934,1.86682,1.8679
1641272400,1.8679,1.8687,1.86667,1.86724
1641276000,1.86724,1.86853,1.86671,1.86757
1641279600,1.86757,1.87131,1.86727,1.87131
1641283200,1.87131,1.87252,1.87022,1.87166
1641286800,1.87166,1.87388,1.87057,1.87352
1641290400,1.87352,1.87404,1.87107,1.87344
1641294000,1.87344,1.87483,1.87235,1.8748
1641297600,1.8748,1.87646,1.87302,1.87568
1641301200,1.87568,1.87601,1.87433,1.87493
1641304800,1.87493,1.87623,1.87323,1.87355
1641308400,1.87355,1.87442,1.86981,1.87036
1641312000,1.87036,1.87239,1.86963,1.87007
1641315600,1.87007,1.8706,1.86914,1.86954
1641319200,1.86954,1.87022,1.8687,1.86985
1641322800,1.86985,1.87019,1.86885,1.86889
1641326400,1.86889,1.86921,1.86755,1.8687
1641330000,1.8687,1.86974,1.86782,1.86934
1641333600,1.86934,1.87074,1.86775,1.86948
1641337200,1.86948,1.86978,1.86824,1.86917
1641340800,1.86917,1.86985,1.86785,1.86926
1641344400,1.86926,1.87192,1.86825,1.87164
1641348000,1.87164,1.87195,1.8695,1.87092
1641351600,1.87092,1.87229,1.87015,1.87045
1641355200,1.87045,1.8708,1.86972,1.87016
1641358800,1.87016,1.87245,1.86991,1.87221
1641362400,1.87221,1.87259,1.87059,1.8714
1641366000,1.8714,1.87212,1.86961,1.87101
1641369600,1.87101,1.87293,1.8701,1.87147
1641373200,1.87147,1.87155,1.86699,1.86717
1641376800,1.86717,1.86907,1.86593,1.86673
1641380400,1.86673,1.86776,1.86554,1.86588
1641384000,1.86588,1.86764,1.86555,1.86763
1641387600,1.86763,1.86771,1.86553,1.86686
1641391200,1.86686,1.86843,1.86443,1.8649
1641394800,1.8649,1.86707,1.86408,1.86595
1641398400,1.86595,1.86997,1.86554,1.86941
1641402000,1.86941,1.87121,1.86845,1.87086
1641405600,1.87086,1.87229,1.8708,1.87124
1641409200,1.87124,1.87792,1.87051,1.87739
1641412800,1.87739,1.8777,1.87613,1.87659
1641416400,1.87659,1.87772,1.87634,1.87709
1641420000,1.87709,1.87845,1.87709,1.87717
1641423600,1.87717,1.87873,1.87689,1.87721
1641427200,1.87721,1.87811,1.87686,1.87758
1641430800,1.87758,1.87954,1.87753,1.87843
1641434400,1.87843,1.88118,1.87836,1.88058
1641438000,1.88058,1.88269,1.88012,1.88255
1641441600,1.88255,1.88572,1.88217,1.88483
1641445200,1.88483,1.88666,1.88475,1.88603
1641448800,1.88603,1.88779,1.886,1.88695
1641452400,1.88695,1.88829,1.88594,1.8863
1641456000,1.8863,1.8899,1.88519,1.88795
1641459600,1.88795,1.88956,1.88721,1.88813
1641463200,1.88813,1.88852,1.88521,1.88607
1641466800,1.88607,1.88925,1.88593,1.88845
1641470400,1.88845,1.88957,1.88716,1.88844
1641474000,1.88844,1.88983,1.88679,1.88978
1641477600,1.88978,1.89088,1.88744,1.89008
1641481200,1.89008,1.89117,1.88705,1.8898
1641484800,1.8898,1.89045,1.88805,1.88897
1641488400,1.88897,1.88963,1.88697,1.88804
1641492000,1.88804,1.88889,1.88757,1.88788
1641495600,1.88788,1.88876,1.88748,1.88783
1641499200,1.88783,1.88973,1.88719,1.88869
1641502800,1.88869,1.88986,1.88863,1.88941
1641506400,1.88941,1.89062,1.88753,1.88999
1641510000,1.88999,1.88999,1.88851,1.88944
1641513600,1.88944,1.88946,1.88716,1.88793
