time,open,high,low,close
1641160800,1.70939,1.71075,1.70939,1.71036
1641164400,1.71036,1.71189,1.7086,1.71182
1641168000,1.71182,1.71182,1.71045,1.71045
1641171600,1.71045,1.71202,1.71034,1.71162
1641175200,1.71162,1.71199,1.71088,1.71147
1641178800,1.71147,1.71233,1.71116,1.71155
1641182400,1.71155,1.71172,1.71111,1.71116
1641186000,1.71116,1.71203,1.71113,1.71161
1641189600,1.71161,1.71311,1.71133,1.7123
1641193200,1.7123,1.71306,1.71159,1.71196
1641196800,1.71196,1.71377,1.71116,1.71364
1641200400,1.71364,1.71455,1.71295,1.71403
1641204000,1.71403,1.71459,1.71296,1.7134
1641207600,1.7134,1.71457,1.71324,1.71355
1641211200,1.71355,1.714,1.71235,1.71276
1641214800,1.71276,1.71563,1.71261,1.71507
1641218400,1.71507,1.71868,1.7148,1.71483
1641222000,1.71483,1.71836,1.71421,1.71758
1641225600,1.71758,1.71826,1.71499,1.71782
1641229200,1.71782,1.71925,1.7178,1.71832
1641232800,1.71832,1.71893,1.71778,1.71779
1641236400,1.71779,1.71983,1.71779,1.71892
1641240000,1.71892,1.71974,1.71808,1.71886
1641243600,1.71886,1.71896,1.71775,1.718
1641247200,1.718,1.71953,1.71618,1.71841
1641250800,1.71841,1.71928,1.71798,1.71927
1641254400,1.71927,1.71951,1.71785,1.71802
1641258000,1.71802,1.71938,1.71727,1.71918
1641261600,1.71918,1.71931,1.71727,1.71759
1641265200,1.71759,1.71783,1.71588,1.71595
1641268800,1.71595,1.7161,1.71479,1.71482
1641272400,1.71482,1.71516,1.71351,1.71368
1641276000,1.71368,1.71453,1.71368,1.71437
1641279600,1.71437,1.717,1.71405,1.71699
1641283200,1.71699,1.7205,1.71678,1.71965
1641286800,1.71965,1.72228,1.71942,1.72218
1641290400,1.72218,1.72225,1.72009,1.72115
1641294000,1.72115,1.72124,1.71918,1.7209
1641297600,1.7209,1.72143,1.71937,1.72062
1641301200,1.72062,1.72095,1.71882,1.72028
1641304800,1.72028,1.72109,1.71804,1.71844
1641308400,1.71844,1.72014,1.71705,1.71795
1641312000,1.71795,1.72117,1.71764,1.71973
1641315600,1.71973,1.72036,1.71809,1.71814
1641319200,1.71814,1.71993,1.71784,1.71992
1641322800,1.71992,1.72021,1.71909,1.71969
1641326400,1.71969,1.72001,1.71872,1.71972
1641330000,1.71972,1.71989,1.71852,1.71916
1641333600,1.71916,1.72015,1.71734,1.7185
1641337200,1.7185,1.71919,1.71832,1.71905
1641340800,1.71905,1.71935,1.71825,1.71887
1641344400,1.71887,1.72094,1.71866,1.72083
1641348000,1.72083,1.72085,1.72022,1.72033
1641351600,1.72033,1.72081,1.72021,1.72045
1641355200,1.72045,1.72045,1.71971,1.71976
1641358800,1.71976,1.72138,1.71954,1.72137
1641362400,1.72137,1.72144,1.71992,1.72051
1641366000,1.72051,1.72115,1.71954,1.72098
1641369600,1.72098,1.72298,1.72076,1.72244
1641373200,1.72244,1.72296,1.72025,1.72031
1641376800,1.72031,1.72203,1.71997,1.72122
1641380400,1.72122,1.72389,1.72097,1.72268
1641384000,1.72268,1.7244,1.72214,1.72371
1641387600,1.72371,1.72393,1.72145,1.72172
1641391200,1.72172,1.72382,1.72077,1.72085
1641394800,1.72085,1.724,1.72067,1.72297
1641398400,1.72297,1.72452,1.72242,1.72369
1641402000,1.72369,1.7271,1.72308,1.72692
1641405600,1.72692,1.72715,1.72566,1.72567
1641409200,1.72567,1.73011,1.72562,1.7297
1641412800,1.7297,1.73017,1.72894,1.7297
1641416400,1.7297,1.72994,1.72852,1.72918
1641420000,1.72918,1.7297,1.7289,1.72906
1641423600,1.72906,1.72994,1.72876,1.72968
1641427200,1.72968,1.72994,1.72831,1.72918
1641430800,1.72918,1.73021,1.72906,1.73002
1641434400,1.73002,1.7306,1.72985,1.7302
1641438000,1.7302,1.73068,1.72935,1.73059
1641441600,1.73059,1.73075,1.72965,1.73041
1641445200,1.73041,1.73135,1.73023,1.73037
1641448800,1.73037,1.7309,1.72978,1.72999
1641452400,1.72999,1.73075,1.72764,1.72854
1641456000,1.72854,1.73044,1.72734,1.72874
1641459600,1.72874,1.72916,1.72688,1.72752
1641463200,1.72752,1.72777,1.726,1.72707
1641466800,1.72707,1.73006,1.72654,1.72975
1641470400,1.72975,1.73007,1.72776,1.72846
1641474000,1.72846,1.72973,1.72587,1.72757
1641477600,1.72757,1.72834,1.72449,1.72732
1641481200,1.72732,1.72923,1.72444,1.72514
1641484800,1.72514,1.72639,1.72226,1.72303
