time,open,high,low,close
1641160800,155.754,155.843,155.692,155.77
1641164400,155.77,155.796,155.675,155.693
1641168000,155.693,155.914,155.666,155.828
1641171600,155.828,155.926,155.687,155.742
1641175200,155.742,155.749,155.652,155.679
1641178800,155.679,155.688,155.577,155.621
1641182400,155.621,155.7,155.573,155.6
1641186000,155.6,155.68,155.591,155.654
1641189600,155.654,155.785,155.653,155.767
1641193200,155.767,155.78,155.63,155.713
1641196800,155.713,155.863,155.67,155.863
1641200400,155.863,155.875,155.647,155.689
1641204000,155.689,155.741,155.491,155.492
1641207600,155.492,155.599,155.387,155.462
1641211200,155.462,155.515,155.389,155.408
1641214800,155.408,155.424,155.129,155.303
1641218400,155.303,155.484,155.177,155.206
1641222000,155.206,155.265,154.894,155.038
1641225600,155.038,155.265,154.949,155.224
1641229200,155.224,155.41,155.224,155.351
1641232800,155.351,155.469,155.33,155.387
1641236400,155.387,155.528,155.37,155.526
1641240000,155.526,155.527,155.349,155.471
1641243600,155.471,155.506,155.431,155.459
1641247200,155.459,155.554,155.313,155.418
1641250800,155.418,155.547,155.386,155.496
1641254400,155.496,155.575,155.382,155.528
1641258000,155.528,155.657,155.468,155.59
1641261600,155.59,155.781,155.518,155.748
1641265200,155.748,155.956,155.701,155.799
1641268800,155.799,156.01,155.786,155.964
1641272400,155.964,155.999,155.892,155.897
1641276000,155.897,155.928,155.83,155.903
1641279600,155.903,156.126,155.76,156.117
1641283200,156.117,156.378,156.099,156.291
1641286800,156.291,156.539,156.278,156.507
1641290400,156.507,156.61,156.395,156.468
1641294000,156.468,156.769,156.394,156.752
1641297600,156.752,156.864,156.621,156.815
1641301200,156.815,157.148,156.814,157.13
1641304800,157.13,157.342,157.093,157.119
1641308400,157.119,157.43,157.094,157.409
1641312000,157.409,157.41,157.032,157.278
1641315600,157.278,157.399,157.251,157.254
1641319200,157.254,157.27,157.08,157.082
1641322800,157.082,157.231,157.066,157.16
1641326400,157.16,157.191,157.033,157.065
1641330000,157.065,157.147,157.063,157.14
1641333600,157.14,157.236,157.051,157.106
1641337200,157.106,157.264,157.106,157.192
1641340800,157.192,157.301,157.098,157.218
1641344400,157.218,157.234,156.902,157.071
1641348000,157.071,157.129,156.911,156.956
1641351600,156.956,157.0,156.816,156.997
1641355200,156.997,156.998,156.863,156.965
1641358800,156.965,157.032,156.887,156.93
1641362400,156.93,157.02,156.892,156.973
1641366000,156.973,157.091,156.867,157.064
1641369600,157.064,157.162,156.983,157.04
1641373200,157.04,157.084,156.753,156.777
1641376800,156.777,156.841,156.592,156.666
1641380400,156.666,156.768,156.606,156.641
1641384000,156.641,156.807,156.58,156.804
1641387600,156.804,157.024,156.759,156.898
1641391200,156.898,156.976,156.752,156.787
1641394800,156.787,157.122,156.774,157.074
1641398400,157.074,157.374,156.994,157.322
1641402000,157.322,157.606,157.286,157.594
1641405600,157.594,157.772,157.538,157.628
1641409200,157.628,157.726,157.389,157.52
1641412800,157.52,157.52,157.317,157.339
1641416400,157.339,157.421,157.313,157.412
1641420000,157.412,157.431,157.35,157.394
1641423600,157.394,157.427,157.335,157.413
1641427200,157.413,157.471,157.138,157.277
1641430800,157.277,157.282,157.035,157.105
1641434400,157.105,157.13,156.873,157.128
1641438000,157.128,157.128,156.805,156.855
1641441600,156.855,156.864,156.725,156.756
1641445200,156.756,156.887,156.704,156.774
1641448800,156.774,156.793,156.598,156.612
1641452400,156.612,156.723,156.369,156.415
1641456000,156.415,156.539,156.091,156.33
1641459600,156.33,156.447,156.214,156.401
1641463200,156.401,156.857,156.361,156.761
1641466800,156.761,156.874,156.619,156.76
1641470400,156.76,156.964,156.707,156.814
1641474000,156.814,156.842,156.599,156.664
1641477600,156.664,157.015,156.617,156.706
1641481200,156.706,156.73,156.38,156.578
1641484800,156.578,156.789,156.492,156.747
1641488400,156.747,156.801,156.679,156.701
1641492000,156.701,156.75,156.59,156.72
1641495600,156.72,156.84,156.705,156.823
1641499200,156.823,156.873,156.739,156.819
1641502800,156.819,156.876,156.731,156.731
1641506400,156.731,156.818,156.677,156.797
1641510000,156.797,156.86,156.785,156.802
1641513600,156.802,157.063,156.794,156.967
1641517200,156.967,157.109,156.954,157.076
1641520800,157.076,157.076,156.925,156.949
1641524400,156.949,157.039,156.948,156.985
1641528000,156.985,157.032,156.937,157.026
1641531600,157.026,157.047,156.948,156.999
1641535200,156.999,157.058,156.936,157.004
1641538800,157.004,157.029,156.775,156.89
1641542400,156.89,156.969,156.754,156.872
1641546000,156.872,157.045,156.84,157.032
1641549600,157.032,157.044,156.83,156.894
1641553200,156.894,156.967,156.832,156.921
1641556800,156.921,156.926,156.784,156.905
1641560400,156.905,157.075,156.758,156.853
1641564000,156.853,157.022,156.745,156.912
1641567600,156.912,157.049,156.815,156.946
1641571200,156.946,157.059,156.83,157.027
1641574800,157.027,157.06,156.951,157.013
1641578400,157.013,157.067,156.97,157.032
1641582000,157.032,157.151,156.998,157.111
1641585600,157.111,157.191,157.091,157.105
1641589200,157.105,157.18,156.988,157.031
1641765600,157.031,157.097,156.945,157.012
1641769200,157.012,157.171,157.0,157.151
1641772800,157.151,157.229,157.124,157.145
1641776400,157.145,157.243,157.069,157.21
1641780000,157.21,157.381,157.208,157.293
1641783600,157.293,157.359,157.239,157.298
1641787200,157.298,157.374,157.291,157.313
1641790800,157.313,157.352,157.274,157.337
1641794400,157.337,157.343,157.233,157.269
1641798000,157.269,157.356,157.256,157.318
1641801600,157.318,157.338,157.063,157.177
1641805200,157.177,157.294,157.1,157.106
1641808800,157.106,157.171,156.972,157.044
1641812400,157.044,157.051,156.617,156.624
1641816000,156.624,156.671,156.319,156.369
1641819600,156.369,156.515,156.299,156.398
1641823200,156.398,156.415,156.053,156.186
1641826800,156.186,156.259,156.066,156.103
1641830400,156.103,156.266,155.954,156.204
1641834000,156.204,156.267,156.042,156.096
1641837600,156.096,156.416,156.079,156.345
1641841200,156.345,156.385,156.21,156.357
1641844800,156.357,156.505,156.328,156.496
1641848400,156.496,156.507,156.402,156.419
1641852000,156.419,156.464,156.265,156.455
1641855600,156.455,156.591,156.444,156.55
1641859200,156.55,156.683,156.421,156.66
1641862800,156.66,156.715,156.549,156.631
1641866400,156.631,156.805,156.62,156.73
1641870000,156.73,156.888,156.722,156.824
1641873600,156.824,156.824,156.635,156.654
1641877200,156.654,156.747,156.635,156.736
1641880800,156.736,156.75,156.459,156.521
1641884400,156.521,156.73,156.435,156.718
1641888000,156.718,156.993,156.705,156.955
1641891600,156.955,157.14,156.873,157.02
1641895200,157.02,157.071,156.948,157.062
1641898800,157.062,157.063,156.776,156.782
1641902400,156.782,156.939,156.752,156.794
1641906000,156.794,156.971,156.778,156.926
1641909600,156.926,157.068,156.755,156.85
1641913200,156.85,157.116,156.848,157.09
1641916800,157.09,157.223,157.067,157.176
1641920400,157.176,157.313,157.146,157.219
1641924000,157.219,157.228,157.097,157.166
1641927600,157.166,157.272,157.132,157.194
1641931200,157.194,157.22,157.09,157.153
1641934800,157.153,157.222,157.138,157.215
1641938400,157.215,157.242,157.154,157.214
1641942000,157.214,157.283,157.191,157.231
1641945600,157.231,157.317,157.176,157.176
1641949200,157.176,157.226,157.063,157.186
1641952800,157.186,157.414,157.163,157.368
1641956400,157.368,157.426,157.337,157.425
1641960000,157.425,157.427,157.332,157.361
1641963600,157.361,157.375,157.317,157.364
1641967200,157.364,157.386,157.248,157.248
1641970800,157.248,157.324,157.183,157.288
1641974400,157.288,157.439,157.221,157.225
1641978000,157.225,157.273,157.118,157.205
1641981600,157.205,157.352,157.155,157.336
1641985200,157.336,157.404,157.286,157.334
1641988800,157.334,157.445,157.298,157.411
1641992400,157.411,157.715,157.373,157.573
1641996000,157.573,157.691,157.449,157.529
1641999600,157.529,157.587,157.138,157.2
1642003200,157.2,157.259,157.042,157.17
1642006800,157.17,157.172,156.908,156.98
1642010400,156.98,157.118,156.952,157.03
1642014000,157.03,157.064,156.765,156.846
1642017600,156.846,157.06,156.831,157.031
1642021200,157.031,157.134,156.992,157.069
1642024800,157.069,157.195,157.03,157.186
1642028400,157.186,157.235,157.13,157.175
1642032000,157.175,157.214,157.079,157.156
1642035600,157.156,157.169,156.993,157.043
1642039200,157.043,157.27,157.042,157.245
1642042800,157.245,157.245,157.038,157.049
1642046400,157.049,157.152,157.049,157.115
1642050000,157.115,157.147,157.027,157.065
1642053600,157.065,157.17,157.051,157.159
1642057200,157.159,157.247,157.053,157.109
1642060800,157.109,157.34,157.092,157.243
1642064400,157.243,157.462,157.182,157.342
1642068000,157.342,157.464,157.269,157.391
1642071600,157.391,157.427,157.181,157.199
1642075200,157.199,157.217,156.817,156.83
1642078800,156.83,157.039,156.686,157.0
1642082400,157.0,157.143,156.855,157.128
1642086000,157.128,157.147,156.595,156.744
1642089600,156.744,156.791,156.522,156.537
1642093200,156.537,156.544,156.316,156.409
1642096800,156.409,156.582,156.395,156.544
1642100400,156.544,156.611,156.492,156.504
1642104000,156.504,156.511,156.335,156.412
1642107600,156.412,156.525,156.394,156.518
1642111200,156.518,156.625,156.514,156.537
1642114800,156.537,156.623,156.471,156.495
1642118400,156.495,156.534,156.167,156.189
1642122000,156.189,156.347,156.079,156.1
1642125600,156.1,156.229,156.037,156.217
1642129200,156.217,156.225,156.008,156.106
1642132800,156.106,156.255,156.106,156.138
1642136400,156.138,156.223,156.042,156.173
1642140000,156.173,156.26,156.127,156.21
