time,open,high,low,close
1641160800,1.97664,1.98012,1.97664,1.98007
1641164400,1.98007,1.98007,1.97537,1.97701
1641168000,1.97701,1.97704,1.974,1.974
1641171600,1.974,1.97734,1.973,1.9768
1641175200,1.9768,1.97763,1.9762,1.97657
1641178800,1.97657,1.97804,1.97567,1.97613
1641182400,1.97613,1.97681,1.97598,1.9761
1641186000,1.9761,1.9771,1.97605,1.97641
1641189600,1.97641,1.97705,1.97584,1.97588
1641193200,1.97588,1.97677,1.97522,1.97582
1641196800,1.97582,1.97679,1.97401,1.97671
1641200400,1.97671,1.97894,1.97641,1.9786
1641204000,1.9786,1.97976,1.97808,1.97959
1641207600,1.97959,1.98088,1.97719,1.97719
1641211200,1.97719,1.97926,1.97719,1.97863
1641214800,1.97863,1.98222,1.97828,1.98222
1641218400,1.98222,1.98606,1.98222,1.98418
1641222000,1.98418,1.98467,1.98207,1.98447
1641225600,1.98447,1.98554,1.98247,1.9847
1641229200,1.9847,1.98606,1.98231,1.98383
1641232800,1.98383,1.98512,1.98251,1.98385
1641236400,1.98385,1.98658,1.98385,1.98657
1641240000,1.98657,1.98725,1.986,1.98675
1641243600,1.98675,1.98755,1.98575,1.9861
1641247200,1.9861,1.98842,1.98289,1.98685
1641250800,1.98685,1.98775,1.98526,1.98601
1641254400,1.98601,1.98606,1.98311,1.98332
1641258000,1.98332,1.98603,1.98159,1.98554
1641261600,1.98554,1.98585,1.98298,1.98391
1641265200,1.98391,1.98426,1.98268,1.984
1641268800,1.984,1.984,1.98183,1.98319
1641272400,1.98319,1.9836,1.98117,1.9817
1641276000,1.9817,1.98315,1.98121,1.98285
1641279600,1.98285,1.98601,1.9826,1.98601
1641283200,1.98601,1.98762,1.98488,1.98695
1641286800,1.98695,1.98877,1.98651,1.98795
1641290400,1.98795,1.99031,1.98743,1.98919
1641294000,1.98919,1.99274,1.98763,1.99274
1641297600,1.99274,1.99305,1.9903,1.99279
1641301200,1.99279,1.99379,1.99109,1.9929
1641304800,1.9929,1.99394,1.98959,1.98999
1641308400,1.98999,1.99053,1.98599,1.98809
1641312000,1.98809,1.99098,1.98696,1.98942
1641315600,1.98942,1.99015,1.98711,1.98746
1641319200,1.98746,1.98895,1.98708,1.98867
1641322800,1.98867,1.98901,1.98744,1.98758
1641326400,1.98758,1.98801,1.98625,1.98698
1641330000,1.98698,1.9875,1.98557,1.98716
1641333600,1.98716,1.98949,1.98716,1.98827
1641337200,1.98827,1.98827,1.98471,1.98602
1641340800,1.98602,1.98661,1.9839,1.98623
1641344400,1.98623,1.98924,1.98493,1.98902
1641348000,1.98902,1.99004,1.98843,1.98909
1641351600,1.98909,1.99031,1.98773,1.98778
1641355200,1.98778,1.98875,1.98759,1.98819
1641358800,1.98819,1.98927,1.98725,1.98865
1641362400,1.98865,1.98989,1.98863,1.98936
1641366000,1.98936,1.9912,1.98935,1.99062
1641369600,1.99062,1.99352,1.99029,1.99039
1641373200,1.99039,1.99055,1.98702,1.98762
1641376800,1.98762,1.99024,1.98608,1.9871
1641380400,1.9871,1.98756,1.98563,1.98603
1641384000,1.98603,1.98675,1.98416,1.98675
1641387600,1.98675,1.98735,1.98514,1.98601
1641391200,1.98601,1.98681,1.98269,1.98277
1641394800,1.98277,1.98638,1.9821,1.98562
1641398400,1.98562,1.98924,1.98512,1.98841
1641402000,1.98841,1.98995,1.98803,1.9893
1641405600,1.9893,1.99138,1.98923,1.99066
1641409200,1.99066,1.99565,1.99013,1.99553
1641412800,1.99553,1.99607,1.99387,1.99434
1641416400,1.99434,1.9952,1.99314,1.99513
1641420000,1.99513,2.00046,1.99407,1.99499
1641423600,1.99499,1.99644,1.99478,1.99562
1641427200,1.99562,1.99616,1.99412,1.99547
1641430800,1.99547,1.99735,1.99483,1.9952
1641434400,1.9952,1.99911,1.99515,1.9987
1641438000,1.9987,2.00036,1.99847,2.00011
1641441600,2.00011,2.00176,1.99921,2.00108
1641445200,2.00108,2.00391,2.00097,2.00337
1641448800,2.00337,2.0047,2.00318,2.00423
1641452400,2.00423,2.00576,2.00228,2.00304
1641456000,2.00304,2.0044,2.00193,2.00234
1641459600,2.00234,2.00408,2.00173,2.00284
1641463200,2.00284,2.00329,1.99915,1.99952
1641466800,1.99952,2.00315,1.9992,2.00258
1641470400,2.00258,2.00478,2.00159,2.00411
1641474000,2.00411,2.00615,2.00251,2.00613
1641477600,2.00613,2.00735,2.00312,2.00614
1641481200,2.00614,2.00801,2.00402,2.00601
1641484800,2.00601,2.00744,2.00467,2.00627
1641488400,2.00627,2.00674,2.00379,2.00447
1641492000,2.00447,2.00712,2.0039,2.00574
1641495600,2.00574,2.00674,2.00561,2.0064
1641499200,2.0064,2.0073,2.00515,2.00604
1641502800,2.00604,2.00665,2.00505,2.00547
1641506400,2.00547,2.00751,2.0049,2.00654
1641510000,2.00654,2.00818,2.00534,2.00793
1641513600,2.00793,2.00798,2.00599,2.00703
1641517200,2.00703,2.00789,2.00621,2.00672
1641520800,2.00672,2.00775,2.00532,2.00546
1641524400,2.00546,2.00686,2.00509,2.00567
1641528000,2.00567,2.00691,2.00534,2.00623
1641531600,2.00623,2.00648,2.00528,2.00528
1641535200,2.00528,2.00616,2.00528,2.00555
1641538800,2.00555,2.00642,2.00458,2.00564
1641542400,2.00564,2.00838,2.00497,2.00673
1641546000,2.00673,2.0084,2.00663,2.00768
1641549600,2.00768,2.00816,2.00474,2.00594
1641553200,2.00594,2.00777,2.00569,2.00659
1641556800,2.00659,2.00765,2.00568,2.00743
1641560400,2.00743,2.00945,2.00425,2.00821
1641564000,2.00821,2.00832,2.00441,2.00491
1641567600,2.00491,2.00981,2.00426,2.0088
1641571200,2.0088,2.00894,2.0037,2.00398
1641574800,2.00398,2.00559,2.00362,2.00504
1641578400,2.00504,2.0059,2.00471,2.00527
1641582000,2.00527,2.00656,2.00471,2.00648
1641585600,2.00648,2.00723,2.0058,2.00643
1641589200,2.00643,2.00763,2.00202,2.00446
1641765600,2.00446,2.00752,2.00254,2.00601
1641769200,2.00601,2.00763,2.00342,2.00607
1641772800,2.00607,2.0067,2.00521,2.00639
1641776400,2.00639,2.00702,2.0052,2.0059
1641780000,2.0059,2.00643,2.00481,2.00575
1641783600,2.00575,2.00617,2.00528,2.00591
1641787200,2.00591,2.0068,2.00549,2.00633
1641790800,2.00633,2.00708,2.00608,2.00662
1641794400,2.00662,2.00694,2.00556,2.0056
1641798000,2.0056,2.00601,2.00329,2.00366
1641801600,2.00366,2.00922,2.00363,2.00732
1641805200,2.00732,2.00806,2.00582,2.00615
1641808800,2.00615,2.00652,2.00453,2.00596
1641812400,2.00596,2.00735,2.00545,2.00702
1641816000,2.00702,2.00817,2.00662,2.00796
1641819600,2.00796,2.00914,2.00715,2.00893
1641823200,2.00893,2.00962,2.00731,2.00885
1641826800,2.00885,2.01201,2.0077,2.01012
1641830400,2.01012,2.01053,2.00778,2.00871
1641834000,2.00871,2.0097,2.00862,2.00954
1641837600,2.00954,2.00981,2.00341,2.00897
1641841200,2.00897,2.01003,2.00821,2.00879
1641844800,2.00879,2.01018,2.00717,2.00772
1641848400,2.00772,2.00926,2.00653,2.00809
1641852000,2.00809,2.00911,2.00577,2.00904
1641855600,2.00904,2.00912,2.00662,2.00716
1641859200,2.00716,2.0082,2.00544,2.00674
1641862800,2.00674,2.01045,2.00656,2.00892
1641866400,2.00892,2.00912,2.00706,2.00712
1641870000,2.00712,2.00821,2.00671,2.00777
1641873600,2.00777,2.00892,2.00751,2.00794
1641877200,2.00794,2.00863,2.00773,2.00811
1641880800,2.00811,2.01026,2.00766,2.00965
1641884400,2.00965,2.01001,2.00756,2.00863
1641888000,2.00863,2.01113,2.00807,2.00966
1641891600,2.00966,2.00981,2.00716,2.00867
1641895200,2.00867,2.01144,2.00767,2.01143
1641898800,2.01143,2.01172,2.00833,2.00914
1641902400,2.00914,2.01045,2.00797,2.0094
1641906000,2.0094,2.01076,2.00851,2.0106
1641909600,2.0106,2.01264,2.01014,2.01175
1641913200,2.01175,2.0141,2.01076,2.01348
1641916800,2.01348,2.01366,2.01027,2.01124
1641920400,2.01124,2.01138,2.01008,2.01053
1641924000,2.01053,2.01253,2.00678,2.00685
1641927600,2.00685,2.00933,2.00657,2.00922
1641931200,2.00922,2.00963,2.00859,2.00915
1641934800,2.00915,2.01044,2.00851,2.0092
1641938400,2.0092,2.00971,2.00791,2.00971
1641942000,2.00971,2.01071,2.00836,2.0098
1641945600,2.0098,2.01076,2.0081,2.00939
1641949200,2.00939,2.01046,2.0085,2.00985
1641952800,2.00985,2.01082,2.00878,2.00993
1641956400,2.00993,2.01017,2.00864,2.0088
