time,open,high,low,close
1641160800,0.86408,0.86472,0.86374,0.86391
1641164400,0.86391,0.86589,0.86359,0.86587
1641168000,0.86587,0.86653,0.86568,0.86649
1641171600,0.86649,0.86713,0.86568,0.86585
1641175200,0.86585,0.86612,0.86532,0.86588
1641178800,0.86588,0.86627,0.86547,0.86611
1641182400,0.86611,0.86617,0.86569,0.86593
1641186000,0.86593,0.86616,0.86579,0.86602
1641189600,0.86602,0.86691,0.86578,0.86661
1641193200,0.86661,0.8669,0.86631,0.86646
1641196800,0.86646,0.86732,0.86613,0.86692
1641200400,0.86692,0.86705,0.86626,0.86627
1641204000,0.86627,0.86645,0.86552,0.86555
1641207600,0.86555,0.86666,0.86532,0.86666
1641211200,0.86666,0.86667,0.86535,0.86562
1641214800,0.86562,0.86647,0.8651,0.86522
1641218400,0.86522,0.86592,0.86401,0.86425
1641222000,0.86425,0.86616,0.86395,0.86551
1641225600,0.86551,0.86579,0.86472,0.86553
1641229200,0.86553,0.86634,0.86527,0.86617
1641232800,0.86617,0.86662,0.86561,0.86588
1641236400,0.86588,0.86617,0.86528,0.8653
1641240000,0.8653,0.86562,0.86469,0.86516
1641243600,0.86516,0.86542,0.86439,0.86449
1641247200,0.86449,0.86581,0.86355,0.86499
1641250800,0.86499,0.86572,0.86452,0.86567
1641254400,0.86567,0.86637,0.86528,0.86624
1641258000,0.86624,0.86669,0.86525,0.86585
1641261600,0.86585,0.86628,0.86537,0.86577
1641265200,0.86577,0.86602,0.86481,0.8649
1641268800,0.8649,0.86545,0.86467,0.86468
1641272400,0.86468,0.86538,0.86467,0.86476
1641276000,0.86476,0.86511,0.86437,0.86459
1641279600,0.86459,0.86487,0.8642,0.86454
1641283200,0.86454,0.86612,0.86453,0.86547
1641286800,0.86547,0.86631,0.86539,0.86631
1641290400,0.86631,0.86636,0.86476,0.86525
1641294000,0.86525,0.86546,0.8635,0.8636
1641297600,0.8636,0.8644,0.86329,0.86342
1641301200,0.86342,0.86372,0.86264,0.8632
1641304800,0.8632,0.86397,0.86287,0.86356
1641308400,0.86356,0.86514,0.86324,0.86412
1641312000,0.86412,0.86512,0.86406,0.86444
1641315600,0.86444,0.86484,0.86407,0.86448
1641319200,0.86448,0.8649,0.86425,0.86485
1641322800,0.86485,0.86535,0.86461,0.86522
1641326400,0.86522,0.86569,0.86493,0.86549
1641330000,0.86549,0.86576,0.86434,0.86437
1641333600,0.86437,0.86509,0.86154,0.8643
1641337200,0.8643,0.86616,0.86429,0.86557
1641340800,0.86557,0.86649,0.86506,0.8654
1641344400,0.8654,0.86634,0.86507,0.86517
1641348000,0.86517,0.86534,0.86465,0.86487
1641351600,0.86487,0.86552,0.86439,0.86551
1641355200,0.86551,0.86551,0.86482,0.86499
1641358800,0.86499,0.86567,0.86481,0.86559
1641362400,0.86559,0.8656,0.86456,0.86487
1641366000,0.86487,0.86491,0.86416,0.86454
1641369600,0.86454,0.8655,0.86403,0.86538
1641373200,0.86538,0.8661,0.86532,0.86552
1641376800,0.86552,0.8665,0.86514,0.8662
1641380400,0.8662,0.86799,0.86615,0.86739
1641384000,0.86739,0.86869,0.86714,0.86761
1641387600,0.86761,0.86787,0.86655,0.86692
1641391200,0.86692,0.86813,0.86692,0.8679
1641394800,0.8679,0.86888,0.86682,0.86773
1641398400,0.86773,0.86779,0.86664,0.86687
1641402000,0.86687,0.86812,0.86669,0.8681
1641405600,0.8681,0.86823,0.86669,0.86691
1641409200,0.86691,0.86792,0.8659,0.86679
1641412800,0.86679,0.86746,0.86643,0.86731
1641416400,0.86731,0.86761,0.8666,0.86676
1641420000,0.86676,0.86715,0.86655,0.86671
1641423600,0.86671,0.86696,0.86645,0.86675
1641427200,0.86675,0.86704,0.86612,0.86655
1641430800,0.86655,0.86722,0.8659,0.86709
1641434400,0.86709,0.86714,0.86553,0.86566
1641438000,0.86566,0.86566,0.86483,0.86524
1641441600,0.86524,0.86546,0.86453,0.86474
1641445200,0.86474,0.86477,0.86352,0.86372
1641448800,0.86372,0.86383,0.86294,0.86318
1641452400,0.86318,0.86334,0.86249,0.86295
1641456000,0.86295,0.86358,0.86269,0.86336
1641459600,0.86336,0.86344,0.86222,0.86254
1641463200,0.86254,0.86375,0.86231,0.86375
1641466800,0.86375,0.86404,0.86324,0.86377
1641470400,0.86377,0.86391,0.86232,0.86245
1641474000,0.86245,0.86294,0.86079,0.86114
1641477600,0.86114,0.86154,0.86027,0.861
1641481200,0.861,0.86161,0.85966,0.85998
1641484800,0.85998,0.86078,0.85851,0.85882
1641488400,0.85882,0.85902,0.85811,0.85854
1641492000,0.85854,0.85878,0.85776,0.85824
1641495600,0.85824,0.85872,0.85802,0.85814
1641499200,0.85814,0.85908,0.8581,0.85841
1641502800,0.85841,0.85966,0.85827,0.85899
1641506400,0.85899,0.85907,0.85782,0.85841
1641510000,0.85841,0.85891,0.85764,0.85799
1641513600,0.85799,0.85852,0.8571,0.85739
1641517200,0.85739,0.85833,0.85739,0.8583
1641520800,0.8583,0.85898,0.85827,0.85887
1641524400,0.85887,0.859,0.85842,0.85879
1641528000,0.85879,0.85885,0.85796,0.85823
1641531600,0.85823,0.85855,0.85811,0.85854
1641535200,0.85854,0.85861,0.85815,0.85833
1641538800,0.85833,0.8591,0.85822,0.85897
1641542400,0.85897,0.85916,0.85806,0.85891
1641546000,0.85891,0.859,0.85799,0.8584
1641549600,0.8584,0.85875,0.85813,0.85842
1641553200,0.85842,0.85896,0.85839,0.85894
1641556800,0.85894,0.85898,0.85835,0.85837
1641560400,0.85837,0.85865,0.85631,0.85776
1641564000,0.85776,0.85918,0.85751,0.85824
1641567600,0.85824,0.85846,0.8558,0.85637
1641571200,0.85637,0.85709,0.85566,0.8569
1641574800,0.8569,0.85724,0.85648,0.8566
1641578400,0.8566,0.85691,0.85613,0.85635
1641582000,0.85635,0.85697,0.85599,0.85614
1641585600,0.85614,0.85657,0.85588,0.85657
1641589200,0.85657,0.85838,0.8559,0.8559
1641765600,0.8559,0.85781,0.8559,0.85628
1641769200,0.85628,0.85734,0.85617,0.85692
1641772800,0.85692,0.85697,0.85645,0.85647
1641776400,0.85647,0.85699,0.85631,0.85655
1641780000,0.85655,0.85683,0.85637,0.85643
