time,open,high,low,close
1641160800,78.688,78.749,78.627,78.666
1641164400,78.666,78.836,78.664,78.752
1641168000,78.752,78.941,78.746,78.939
1641171600,78.939,79.018,78.754,78.785
1641175200,78.785,78.798,78.719,78.761
1641178800,78.761,78.797,78.657,78.749
1641182400,78.749,78.786,78.717,78.739
1641186000,78.739,78.762,78.716,78.755
1641189600,78.755,78.835,78.748,78.834
1641193200,78.834,78.834,78.774,78.809
1641196800,78.809,78.917,78.788,78.849
1641200400,78.849,78.857,78.657,78.685
1641204000,78.685,78.702,78.543,78.548
1641207600,78.548,78.629,78.47,78.628
1641211200,78.628,78.628,78.53,78.543
1641214800,78.543,78.55,78.332,78.348
1641218400,78.348,78.348,78.177,78.221
1641222000,78.221,78.288,78.122,78.126
1641225600,78.126,78.238,78.12,78.21
1641229200,78.21,78.33,78.2,78.31
1641232800,78.31,78.367,78.268,78.326
1641236400,78.326,78.326,78.258,78.291
1641240000,78.291,78.307,78.201,78.253
1641243600,78.253,78.301,78.219,78.26
1641247200,78.26,78.281,78.174,78.218
1641250800,78.218,78.332,78.198,78.295
1641254400,78.295,78.425,78.247,78.42
1641258000,78.42,78.502,78.342,78.362
1641261600,78.362,78.527,78.317,78.506
1641265200,78.506,78.653,78.482,78.527
1641268800,78.527,78.687,78.527,78.642
1641272400,78.642,78.717,78.612,78.669
1641276000,78.669,78.676,78.589,78.627
1641279600,78.627,78.646,78.533,78.609
1641283200,78.609,78.72,78.589,78.659
1641286800,78.659,78.735,78.656,78.729
1641290400,78.729,78.735,78.625,78.66
1641294000,78.66,78.762,78.655,78.662
1641297600,78.662,78.769,78.648,78.691
1641301200,78.691,78.858,78.67,78.843
1641304800,78.843,79.039,78.831,78.961
1641308400,78.961,79.228,78.927,79.176
1641312000,79.176,79.176,78.91,79.057
1641315600,79.057,79.135,79.029,79.123
1641319200,79.123,79.126,78.987,78.988
1641322800,78.988,79.09,78.976,79.07
1641326400,79.07,79.11,79.042,79.048
1641330000,79.048,79.127,79.048,79.067
1641333600,79.067,79.071,78.984,79.015
1641337200,79.015,79.218,79.011,79.147
1641340800,79.147,79.234,79.124,79.154
1641344400,79.154,79.179,78.899,78.969
1641348000,78.969,79.014,78.878,78.908
1641351600,78.908,78.983,78.801,78.98
1641355200,78.98,78.98,78.9,78.949
1641358800,78.949,79.006,78.881,78.911
1641362400,78.911,78.952,78.877,78.907
1641366000,78.907,78.918,78.834,78.902
1641369600,78.902,78.944,78.795,78.896
1641373200,78.896,78.961,78.857,78.877
1641376800,78.877,78.892,78.789,78.84
