time,open,high,low,close
1641160800,1.26386,1.26416,1.26375,1.26384
1641164400,1.26384,1.26604,1.26311,1.26599
1641168000,1.26599,1.26599,1.26484,1.2654
1641171600,1.2654,1.26646,1.26451,1.26622
1641175200,1.26622,1.26743,1.26617,1.26733
1641178800,1.26733,1.26857,1.26709,1.26787
1641182400,1.26787,1.26804,1.26699,1.26768
1641186000,1.26768,1.26821,1.26764,1.26798
1641189600,1.26798,1.26857,1.26755,1.26785
1641193200,1.26785,1.26862,1.26749,1.26756
1641196800,1.26756,1.26782,1.26671,1.26723
1641200400,1.26723,1.26839,1.26706,1.26801
1641204000,1.26801,1.26815,1.26745,1.26808
1641207600,1.26808,1.26848,1.26788,1.2683
1641211200,1.2683,1.26858,1.26803,1.26816
1641214800,1.26816,1.272,1.26815,1.27164
1641218400,1.27164,1.27486,1.2715,1.27398
1641222000,1.27398,1.27791,1.27343,1.27728
1641225600,1.27728,1.27733,1.27522,1.27563
1641229200,1.27563,1.27593,1.27502,1.27552
1641232800,1.27552,1.27561,1.27439,1.27441
1641236400,1.27441,1.27548,1.2744,1.27474
1641240000,1.27474,1.27584,1.27439,1.27522
1641243600,1.27522,1.27547,1.2744,1.27441
1641247200,1.27441,1.27549,1.27434,1.27522
1641250800,1.27522,1.27522,1.27456,1.27519
1641254400,1.27519,1.27555,1.2744,1.27465
1641258000,1.27465,1.27539,1.27375,1.2753
1641261600,1.2753,1.27545,1.27408,1.27482
1641265200,1.27482,1.27523,1.27425,1.27445
1641268800,1.27445,1.27456,1.27288,1.27312
1641272400,1.27312,1.27337,1.27234,1.27235
1641276000,1.27235,1.27346,1.27235,1.27337
1641279600,1.27337,1.27376,1.27253,1.2729
1641283200,1.2729,1.27486,1.27288,1.27459
1641286800,1.27459,1.27492,1.2737,1.27458
1641290400,1.27458,1.27485,1.27359,1.27484
1641294000,1.27484,1.2756,1.2743,1.27515
1641297600,1.27515,1.27661,1.27489,1.27613
1641301200,1.27613,1.27613,1.27265,1.27289
1641304800,1.27289,1.27313,1.27048,1.27129
1641308400,1.27129,1.27153,1.26672,1.26757
1641312000,1.26757,1.27111,1.26753,1.26994
1641315600,1.26994,1.27076,1.26906,1.2693
1641319200,1.2693,1.27188,1.2693,1.27188
1641322800,1.27188,1.27198,1.27041,1.27055
1641326400,1.27055,1.27141,1.27001,1.27119
1641330000,1.27119,1.27119,1.27028,1.27053
1641333600,1.27053,1.2711,1.26953,1.27044
1641337200,1.27044,1.27064,1.27008,1.27055
1641340800,1.27055,1.27068,1.26973,1.27042
1641344400,1.27042,1.27107,1.27001,1.27103
1641348000,1.27103,1.27154,1.27082,1.27133
1641351600,1.27133,1.27187,1.27119,1.27131
1641355200,1.27131,1.27174,1.27126,1.27156
1641358800,1.27156,1.27257,1.27142,1.27244
1641362400,1.27244,1.27244,1.27099,1.27126
1641366000,1.27126,1.27173,1.27072,1.27141
1641369600,1.27141,1.27197,1.2709,1.27149
1641373200,1.27149,1.27184,1.27107,1.27133
1641376800,1.27133,1.27191,1.27084,1.2719
1641380400,1.2719,1.27286,1.2717,1.27218
1641384000,1.27218,1.274,1.27182,1.27298
1641387600,1.27298,1.27317,1.27061,1.27079
1641391200,1.27079,1.2721,1.26967,1.27025
1641394800,1.27025,1.27175,1.26918,1.27007
1641398400,1.27007,1.27095,1.26991,1.27001
1641402000,1.27001,1.27118,1.26932,1.27081
1641405600,1.27081,1.27103,1.26965,1.27022
1641409200,1.27022,1.27564,1.26985,1.27553
1641412800,1.27553,1.27665,1.27532,1.27656
1641416400,1.27656,1.27658,1.27517,1.27561
1641420000,1.27561,1.27589,1.27534,1.27576
1641423600,1.27576,1.27637,1.27558,1.27605
1641427200,1.27605,1.27665,1.27581,1.27638
1641430800,1.27638,1.27747,1.27625,1.27657
1641434400,1.27657,1.27775,1.27655,1.27675
1641438000,1.27675,1.27843,1.27675,1.27827
1641441600,1.27827,1.27927,1.27793,1.27927
1641445200,1.27927,1.2798,1.27874,1.27886
1641448800,1.27886,1.28014,1.27885,1.28014
1641452400,1.28014,1.28058,1.27913,1.28047
1641456000,1.28047,1.28139,1.27933,1.28045
1641459600,1.28045,1.28072,1.27818,1.27848
1641463200,1.27848,1.27865,1.27553,1.27652
1641466800,1.27652,1.27791,1.27637,1.27777
1641470400,1.27777,1.2778,1.27622,1.27653
1641474000,1.27653,1.27773,1.27564,1.27641
1641477600,1.27641,1.27698,1.27242,1.27618
