time,open,high,low,close
1641160800,115.09,115.166,115.066,115.112
1641164400,115.112,115.158,115.1,115.144
1641168000,115.144,115.29,115.124,115.282
1641171600,115.282,115.282,115.185,115.215
1641175200,115.215,115.28,115.208,115.279
1641178800,115.279,115.304,115.251,115.279
1641182400,115.279,115.307,115.27,115.272
1641186000,115.272,115.317,115.272,115.311
1641189600,115.311,115.365,115.31,115.338
1641193200,115.338,115.346,115.269,115.292
1641196800,115.292,115.309,115.241,115.26
1641200400,115.26,115.274,115.151,115.177
1641204000,115.177,115.177,115.061,115.081
1641207600,115.081,115.095,114.996,115.068
1641211200,115.068,115.145,115.052,115.068
1641214800,115.068,115.168,114.951,115.151
1641218400,115.151,115.337,115.14,115.307
1641222000,115.307,115.369,115.262,115.295
1641225600,115.295,115.339,115.244,115.267
1641229200,115.267,115.34,115.259,115.319
1641232800,115.319,115.325,115.268,115.279
1641236400,115.279,115.337,115.262,115.337
1641240000,115.337,115.351,115.265,115.346
1641243600,115.346,115.359,115.326,115.332
1641247200,115.332,115.361,115.298,115.332
1641250800,115.332,115.359,115.294,115.333
1641254400,115.333,115.436,115.293,115.392
1641258000,115.392,115.488,115.343,115.421
1641261600,115.421,115.63,115.405,115.599
1641265200,115.599,115.818,115.563,115.711
1641268800,115.711,115.814,115.708,115.791
1641272400,115.791,115.803,115.745,115.751
1641276000,115.751,115.805,115.709,115.804
1641279600,115.804,115.804,115.656,115.74
1641283200,115.74,115.855,115.714,115.843
1641286800,115.843,115.889,115.795,115.831
1641290400,115.831,115.898,115.812,115.896
1641294000,115.896,116.177,115.896,116.148
1641297600,116.148,116.355,116.129,116.306
1641301200,116.306,116.346,116.241,116.264
1641304800,116.264,116.337,116.235,116.243
1641308400,116.243,116.26,116.04,116.142
1641312000,116.142,116.169,115.956,116.142
1641315600,116.142,116.199,116.133,116.174
1641319200,116.174,116.186,116.09,116.162
1641322800,116.162,116.181,116.08,116.114
1641326400,116.114,116.15,116.087,116.1
1641330000,116.1,116.15,116.1,116.144
1641333600,116.144,116.166,116.099,116.145
1641337200,116.145,116.238,116.129,116.177
1641340800,116.177,116.245,116.121,116.201
1641344400,116.201,116.205,115.91,116.013
1641348000,116.013,116.06,115.957,115.991
1641351600,115.991,116.014,115.902,116.01
1641355200,116.01,116.08,115.955,116.057
1641358800,116.057,116.102,115.993,116.003
1641362400,116.003,116.031,115.97,115.985
1641366000,115.985,116.046,115.913,116.035
1641369600,116.035,116.045,115.868,115.922
1641373200,115.922,115.955,115.784,115.858
1641376800,115.858,115.871,115.732,115.767
1641380400,115.767,115.797,115.622,115.677
1641384000,115.677,115.811,115.649,115.8
1641387600,115.8,115.937,115.739,115.804
1641391200,115.804,115.836,115.675,115.733
1641394800,115.733,115.849,115.714,115.786
