time,open,high,low,close
1641164400,1829.28,1831.8,1828.1,1828.55
1641168000,1828.55,1831.07,1827.12,1830.39
1641171600,1830.39,1831.68,1827.68,1828.91
1641175200,1828.91,1828.96,1825.73,1826.28
1641178800,1826.28,1826.99,1824.29,1825.81
1641182400,1825.81,1826.06,1824.69,1825.25
1641186000,1825.25,1825.85,1823.78,1825.54
1641189600,1825.54,1825.84,1823.8,1825.42
1641193200,1825.42,1825.5,1821.17,1824.27
1641196800,1824.27,1824.4,1821.46,1822.96
1641200400,1822.96,1826.72,1822.57,1826.48
1641204000,1826.48,1827.57,1825.63,1826.53
1641207600,1826.53,1827.12,1822.37,1822.97
1641211200,1822.97,1823.27,1821.38,1821.86
1641214800,1821.86,1822.05,1805.78,1807.18
1641218400,1807.18,1810.96,1802.94,1802.98
1641222000,1802.98,1806.74,1799.91,1801.98
1641225600,1801.98,1802.03,1798.45,1800.78
1641229200,1800.78,1801.02,1798.88,1799.75
1641232800,1799.75,1802.29,1799.12,1801.73
1641236400,1801.73,1803.07,1801.14,1801.76
1641240000,1801.76,1804.64,1801.23,1801.8
1641243600,1801.8,1802.37,1801.02,1801.38
1641250800,1801.38,1804.38,1801.38,1804.24
1641254400,1804.24,1804.97,1803.02,1804.5
1641258000,1804.5,1806.88,1803.29,1805.24
1641261600,1805.24,1807.18,1804.75,1805.44
1641265200,1805.44,1806.24,1803.95,1804.3
1641268800,1804.3,1804.34,1803.22,1803.58
1641272400,1803.58,1805.58,1803.35,1805.5
1641276000,1805.5,1806.12,1803.51,1803.55
1641279600,1803.55,1807.47,1803.3,1805.82
1641283200,1805.82,1806.91,1803.42,1804.07
1641286800,1804.07,1806.77,1802.01,1805.79
1641290400,1805.79,1808.67,1805.39,1805.71
1641294000,1805.71,1805.71,1802.47,1804.1
1641297600,1804.1,1805.11,1798.55,1801.29
1641301200,1801.29,1807.39,1799.82,1807.27
1641304800,1807.27,1810.97,1806.39,1810.33
1641308400,1810.33,1816.77,1807.58,1814.68
1641312000,1814.68,1815.62,1811.71,1812.62
1641315600,1812.62,1815.16,1811.91,1813.65
1641319200,1813.65,1815.23,1813.53,1815.17
1641322800,1815.17,1815.31,1813.81,1814.58
1641326400,1814.58,1815.48,1813.51,1815.26
1641330000,1815.26,1815.46,1814.2,1814.69
1641337200,1814.69,1814.72,1813.1,1813.98
1641340800,1813.98,1814.72,1812.85,1812.99
1641344400,1812.99,1815.43,1812.82,1815.34
1641348000,1815.34,1816.28,1814.24,1815.66
1641351600,1815.66,1816.55,1814.42,1815.51
1641355200,1815.51,1815.51,1814.69,1815.0
1641358800,1815.0,1816.33,1814.36,1815.85
1641362400,1815.85,1817.11,1812.77,1813.14
1641366000,1813.14,1815.76,1812.61,1813.54
1641369600,1813.54,1817.67,1813.42,1816.82
1641373200,1816.82,1820.23,1816.4,1817.76
1641376800,1817.76,1820.06,1817.72,1818.44
1641380400,1818.44,1820.8,1817.82,1818.73
1641384000,1818.73,1819.26,1817.06,1818.0
